channel,spearman
unmod1_l3_f0,-0.1352959472345265
unmod1_l3_f1,-0.12877616770610972
unmod1_l3_f2,-0.012539235671965144
unmod1_l3_f3,-0.10358373063847368
unmod1_l3_f4,-0.23283133145454593
unmod1_l3_f5,0.088782096844159
unmod1_l3_f6,0.11406077069280049
unmod1_l3_f7,0.033600499898287776
unmod1_l3_f8,0.059351699166480455
unmod1_l3_f9,-0.10614978113915152
unmod1_l3_f10,-0.012883037469434745
unmod1_l3_f11,0.07897456504676174
unmod1_l3_f12,-0.05956490135433888
unmod1_l3_f13,0.07575111066222648
unmod1_l3_f14,-0.13477072254933295
unmod1_l3_f15,-0.0031917314020512362
unmod1_l3_f16,-0.13569015351608726
unmod1_l3_f17,0.02209047438367979
unmod1_l3_f18,-0.19476097836977807
unmod1_l3_f19,-0.21253880722099402
unmod1_l3_f20,-0.0029899587366234754
unmod1_l3_f21,0.0390323416520653
unmod1_l3_f22,0.08923599101916213
unmod1_l3_f23,0.0990053556738517
unmod1_l3_f24,0.03702077913354338
unmod1_l3_f25,-0.02089410122019016
unmod1_l3_f26,0.130342747731026
unmod1_l3_f27,-0.10470435936954751
unmod1_l3_f28,-0.22116130304043863
unmod1_l3_f29,-0.27748097196401245
unmod1_l3_f30,-0.32867085601740187
unmod1_l3_f31,-0.39334236506303294
unmod1_l3_f32,-0.17684193247668997
unmod1_l3_f33,0.017856877715540745
unmod1_l3_f34,0.10802271555784289
unmod1_l3_f35,-0.19312916094624963
unmod1_l3_f36,-0.3666674930387278
unmod1_l3_f37,-0.12474481477097657
unmod1_l3_f38,0.038313469063449616
unmod1_l3_f39,0.05406812520030026
unmod1_l3_f40,0.014263330124613434
unmod1_l3_f41,-0.10163456876517421
unmod1_l3_f42,-0.04859953583070682
unmod1_l3_f43,-0.07975897856875573
unmod1_l3_f44,-0.47679729140575683
unmod1_l3_f45,-0.0027832632567034504
unmod1_l3_f46,-0.14025783801941277
unmod1_l3_f47,0.03080177636603358
unmod1_l3_f48,-0.0317993028645756
unmod1_l3_f49,-0.2509446381543019
unmod1_l3_f50,0.0014138352488331722
unmod1_l3_f51,-0.12568634169487095
unmod1_l3_f52,0.12100656094359939
unmod1_l3_f53,0.10559255676791876
unmod1_l3_f54,0.014760434330170588
unmod1_l3_f55,-0.2612650712554938
unmod1_l3_f56,-0.02761415147950477
unmod1_l3_f57,0.06468077793883674
unmod1_l3_f58,0.06598338987158577
unmod1_l3_f59,-0.45789538177126954
unmod1_l3_f60,-0.08884001093897537
unmod1_l3_f61,0.04509246850343533
unmod1_l3_f62,-0.5076831601796419
unmod1_l3_f63,-0.25385633850059075
unmod1_l3_f64,0.12902280843051236
unmod1_l3_f65,-0.07444391527945243
unmod1_l3_f66,-0.2262777450566241
unmod1_l3_f67,0.09600967927718479
unmod1_l3_f68,0.011004536970408688
unmod1_l3_f69,-0.07906076415159942
unmod1_l3_f70,0.10320693255223096
unmod1_l3_f71,-0.4523175181056348
unmod1_l3_f72,-0.07279859624580781
unmod1_l3_f73,-0.0017952364813008366
unmod1_l3_f74,-0.031709562852850114
unmod1_l3_f75,-0.5330182075884007
unmod1_l3_f76,0.054382849587194505
unmod1_l3_f77,-0.284535802558107
unmod1_l3_f78,-0.15682243336027976
unmod1_l3_f79,-0.22765829067584045
unmod1_l3_f80,-0.33305720348002466
unmod1_l3_f81,-0.027458655023889035
unmod1_l3_f82,0.004753426375642793
