channel,spearman
vleng_l3_0,-0.1951551729957733
vleng_l3_1,-0.15326601549729008
vleng_l3_2,-0.026410137574449353
vleng_l3_3,-0.14389048895712292
vleng_l3_4,-0.2450771254582702
vleng_l3_5,0.07783797882948991
vleng_l3_6,0.07273134117625306
vleng_l3_7,0.02190602649042807
vleng_l3_8,0.03450729524674684
vleng_l3_9,-0.05225588610659932
vleng_l3_10,0.014715194423055272
vleng_l3_11,0.04077535544950867
vleng_l3_12,-0.06692030558811254
vleng_l3_13,0.0788960301464989
vleng_l3_14,-0.1353202309548873
vleng_l3_15,-0.027464848912396356
vleng_l3_16,-0.11757768928691041
vleng_l3_17,0.006943177359755471
vleng_l3_18,-0.21719423820436307
vleng_l3_19,-0.20726446701306647
vleng_l3_20,-0.04177240678816482
vleng_l3_21,0.022780031180315616
vleng_l3_22,0.037202846453036474
vleng_l3_23,0.050116780507590324
vleng_l3_24,0.03397451248574155
vleng_l3_25,-0.04964379438848023
vleng_l3_26,0.07118029817592172
vleng_l3_27,-0.09557306258881043
vleng_l3_28,-0.23037144497041742
vleng_l3_29,-0.2809595127245323
vleng_l3_30,-0.3403742806688585
vleng_l3_31,-0.3562080263206107
vleng_l3_32,-0.17887670430715458
vleng_l3_33,-0.004870692792088497
vleng_l3_34,0.0656445319524544
vleng_l3_35,-0.19746815561022868
vleng_l3_36,-0.35240280361236404
vleng_l3_37,-0.1430522343012508
vleng_l3_38,0.011075828806166556
vleng_l3_39,0.03204763403661442
vleng_l3_40,0.03626449382908954
vleng_l3_41,-0.11801865195351409
vleng_l3_42,-0.06929263112504772
vleng_l3_43,-0.07937783655841439
vleng_l3_44,-0.4568028393982924
vleng_l3_45,0.019954465954341728
vleng_l3_46,-0.13455887843390268
vleng_l3_47,0.017623186121532207
vleng_l3_48,-0.04512540001801619
vleng_l3_49,-0.25217814651193854
vleng_l3_50,-0.016220664951523325
vleng_l3_51,-0.12120453761932934
vleng_l3_52,0.08900318000905345
vleng_l3_53,0.08817357137731098
vleng_l3_54,-0.017749791176415827
vleng_l3_55,-0.29043521915467513
vleng_l3_56,0.0004402362307478777
vleng_l3_57,0.04882808481269109
vleng_l3_58,0.014639022834658002
vleng_l3_59,-0.430578723161416
vleng_l3_60,-0.07780193264368705
vleng_l3_61,0.07081999427501469
vleng_l3_62,-0.4677986453010071
vleng_l3_63,-0.27085305479827004
vleng_l3_64,0.09228810873179605
vleng_l3_65,-0.05534838988564635
vleng_l3_66,-0.27789759558899657
vleng_l3_67,0.03799421031307472
vleng_l3_68,-0.03793891943604828
vleng_l3_69,-0.09058746488801665
vleng_l3_70,0.04299210049623686
vleng_l3_71,-0.43734335808150443
vleng_l3_72,-0.07432681668538312
vleng_l3_73,0.013909298946802208
vleng_l3_74,-0.07329419147050442
vleng_l3_75,-0.5049483761497074
vleng_l3_76,0.01544684240456187
vleng_l3_77,-0.2949540080281644
vleng_l3_78,-0.1544681531134546
vleng_l3_79,-0.2376543971175524
vleng_l3_80,-0.31815447327333995
vleng_l3_81,-0.055850381979716826
vleng_l3_82,0.011813891881326269
vleng_l3_83,-0.10655980671674248
vleng_l3_84,-0.044631112305199505
vleng_l3_85,-0.059136082489619
vleng_l3_86,0.05915532041352855
vleng_l3_87,0.08525462063621948
vleng_l3_88,-0.18995421959934683
vleng_l3_89,-0.15100591182533238
vleng_l3_90,-0.18258745699755094
vleng_l3_91,-0.029118576618111482
vleng_l3_92,-0.05236223345184905
vleng_l3_93,-0.02819917487224922
vleng_l3_94,-0.3253411725271104
vleng_l3_95,0.04744289845883839
vleng_l3_96,0.05516396305133181
vleng_l3_97,-0.4431542699962954
vleng_l3_98,-0.16562514684659949
vleng_l3_99,-0.19436535923660533
vleng_l3_100,-0.15508007510701435
vleng_l3_101,-0.05276438345255128
vleng_l3_102,-0.04658659792329923
vleng_l3_103,-0.15360581672014562
vleng_l3_104,-0.08856234701379118
vleng_l3_105,-0.22619666983554484
vleng_l3_106,0.01744347430256774
vleng_l3_107,-0.05663924485478137
vleng_l3_108,-0.14604080052954377
vleng_l3_109,-0.004324057706212826
vleng_l3_110,0.0727386220743533
vleng_l3_111,-0.1612642641886402
vleng_l3_112,-0.2496116589970598
vleng_l3_113,-0.024393886796549687
vleng_l3_114,0.06574609781557433
vleng_l3_115,-0.1808042039926084
vleng_l3_116,-0.04075616648873694
vleng_l3_117,-0.06933240740498824
vleng_l3_118,-0.028126710740216318
vleng_l3_119,-0.0368183835228303
vleng_l3_120,-0.18695309528397064
vleng_l3_121,-0.15863300129527924
vleng_l3_122,-0.03319387115259365
vleng_l3_123,-0.00880965747896214
vleng_l3_124,-0.14000937811596878
vleng_l3_125,0.024303918174826047
vleng_l3_126,0.10597948188176752
vleng_l3_127,-0.030387243858360096
vleng_l3_128,-0.06777937050706448
vleng_l3_129,0.06977639633759165
vleng_l3_130,0.09630723371616266
vleng_l3_131,0.03584372966779489
vleng_l3_132,-0.02191597713322394
vleng_l3_133,-0.2528904283329145
vleng_l3_134,-0.0579668506652167
vleng_l3_135,-0.37605298982396373
vleng_l3_136,-0.11092518140122996
vleng_l3_137,-0.010124411984991028
vleng_l3_138,-0.20086780148806063
vleng_l3_139,-0.021931705036353343
vleng_l3_140,-0.304124150138042
vleng_l3_141,-0.1708213046848316
vleng_l3_142,-0.0072962117633700325
vleng_l3_143,0.008561085200065722
vleng_l3_144,0.04722807251257586
vleng_l3_145,-0.40459897064605665
vleng_l3_146,-0.3422768350950439
vleng_l3_147,0.018986271809349094
vleng_l3_148,-0.10926768123756676
vleng_l3_149,-0.028782804791205173
vleng_l3_150,-0.04499033499585291
vleng_l3_151,-0.1465132844381123
vleng_l3_152,-0.15076671570902178
vleng_l3_153,-0.16544508729746027
vleng_l3_154,-0.08930767370326446
vleng_l3_155,0.05782372557551497
vleng_l3_156,-0.20501037503761804
vleng_l3_157,-0.1392685556382269
vleng_l3_158,0.03202918592126345
vleng_l3_159,-0.03693587953515205
vleng_l3_160,-0.062109830281459465
vleng_l3_161,-0.0030746643443130073
vleng_l3_162,-0.23827000026882186
vleng_l3_163,-0.043788849394614346
vleng_l3_164,-0.25149756219120656
vleng_l3_165,-0.043266059117426856
vleng_l3_166,-0.14476708293211973
vleng_l3_167,-0.31245889600210774
vleng_l3_168,-0.06673975762730727
vleng_l3_169,-0.4880763053622599
vleng_l3_170,0.04872642529232281
vleng_l3_171,-0.2860509398509415
vleng_l3_172,0.022587352873992668
vleng_l3_173,-0.10479120340594572
vleng_l3_174,-0.039304586726902076
vleng_l3_175,-0.0623858774318836
vleng_l3_176,-0.42959783443628985
vleng_l3_177,-0.11579380525966204
