unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.019,-0.057,-0.048,0.006,-0.031,0.002,filter_96
-0.276,-0.23,-0.273,-0.064,-0.075,-0.086,filter_97
-0.022,-0.204,-0.045,-0.02,-0.055,-0.062,filter_98
-0.011,0.016,-0.035,0.011,-0.017,0.035,filter_99
-0.062,-0.218,-0.053,-0.069,0.051,-0.081,filter_100
0.058,0.107,0.028,0.029,-0.02,0.051,filter_101
0.019,0.058,0.009,-0.009,-0.04,0.043,filter_102
-0.054,0.077,-0.089,-0.036,-0.016,0.027,filter_103
0.041,0.201,0.02,0.034,0.024,0.076,filter_104
0.038,-0.078,0.006,0.006,0.022,-0.014,filter_105
-0.017,0.157,-0.048,-0.013,-0.029,0.074,filter_106
0.021,0.168,0.01,0.052,-0.127,0.1,filter_107
-0.126,-0.105,-0.16,-0.031,0.068,0.006,filter_108
-0.371,-0.326,-0.383,-0.063,-0.106,-0.096,filter_109
-0.012,0.079,-0.034,0.03,-0.106,0.058,filter_110
-0.158,0.067,-0.149,-0.062,-0.102,0.015,filter_111
-0.05,-0.17,-0.065,0.0,0.094,0.002,filter_112
0.004,-0.135,-0.038,-0.01,-0.1,-0.051,filter_113
-0.295,-0.183,-0.278,-0.053,-0.07,-0.04,filter_114
0.053,0.091,0.06,-0.041,-0.014,-0.042,filter_115
-0.049,-0.007,-0.065,-0.035,0.056,-0.003,filter_116
-0.204,-0.215,-0.203,-0.033,-0.026,-0.049,filter_117
0.025,-0.049,0.026,0.002,0.115,-0.015,filter_118
0.058,0.165,0.028,0.005,0.059,0.049,filter_119
-0.36,-0.401,-0.351,-0.097,-0.135,-0.123,filter_120
-0.073,0.085,-0.09,-0.031,-0.026,0.022,filter_121
-0.179,-0.119,-0.198,0.005,-0.044,-0.004,filter_122
0.068,0.165,0.038,0.027,-0.0,0.057,filter_123
0.031,-0.103,-0.007,0.001,0.097,-0.007,filter_124
0.083,0.185,0.059,-0.033,0.12,0.013,filter_125
0.008,0.087,-0.008,-0.003,0.045,-0.017,filter_126
0.044,0.072,0.022,0.041,-0.033,0.065,filter_127
-0.291,-0.361,-0.287,-0.115,-0.029,-0.141,filter_128
0.036,-0.195,0.017,-0.005,0.066,-0.046,filter_129
-0.128,0.003,-0.103,-0.016,-0.097,-0.011,filter_130
0.073,0.072,0.025,0.004,0.077,0.009,filter_131
0.019,0.081,0.033,-0.014,0.063,0.03,filter_132
0.054,0.279,0.036,0.004,0.047,0.071,filter_133
-0.01,0.034,-0.073,-0.02,-0.029,0.035,filter_134
-0.004,-0.08,0.021,0.004,0.077,0.004,filter_135
0.07,0.165,0.031,0.047,0.014,0.069,filter_136
0.007,0.155,-0.027,-0.014,0.0,0.044,filter_137
0.082,0.24,0.039,-0.0,-0.146,0.083,filter_138
-0.149,-0.056,-0.158,-0.014,-0.099,0.015,filter_139
0.015,-0.13,-0.024,0.022,-0.238,-0.001,filter_140
-0.343,-0.391,-0.334,-0.106,-0.042,-0.17,filter_141
0.084,0.108,0.035,-0.015,0.013,0.006,filter_142
0.037,0.047,0.0,-0.015,-0.011,0.004,filter_143
-0.1,-0.245,-0.126,-0.067,-0.134,-0.114,filter_144
-0.031,0.079,-0.038,0.015,0.028,0.04,filter_145
0.085,0.123,0.058,0.02,0.081,0.019,filter_146
-0.568,-0.437,-0.527,-0.123,-0.148,-0.128,filter_147
-0.06,-0.031,-0.081,0.008,-0.1,0.001,filter_148
-0.057,-0.091,-0.045,-0.053,0.095,-0.043,filter_149
