Andrev2015,pc3,muscle,human,vleng,channel_name
0.005,0.03,-0.16,-0.011,-0.185,filter_226
-0.038,-0.055,-0.055,0.02,-0.111,filter_227
-0.0,0.015,-0.067,-0.057,0.011,filter_228
-0.096,-0.117,-0.093,-0.216,-0.317,filter_229
-0.008,0.055,-0.164,0.154,-0.03,filter_230
-0.014,-0.013,0.012,0.05,0.016,filter_231
-0.022,0.012,0.029,-0.018,-0.016,filter_232
-0.001,0.045,-0.056,0.092,-0.048,filter_233
0.0,0.003,0.041,0.009,0.081,filter_234
-0.007,0.013,-0.014,-0.081,-0.164,filter_235
-0.005,0.014,-0.16,-0.055,0.075,filter_236
-0.019,0.003,-0.079,0.018,-0.095,filter_237
0.024,0.012,-0.058,-0.08,0.011,filter_238
0.013,0.02,0.072,-0.025,0.057,filter_239
0.006,0.001,-0.022,0.018,-0.071,filter_240
0.008,0.04,-0.119,0.208,0.025,filter_241
0.024,0.005,-0.188,-0.153,-0.043,filter_242
-0.053,-0.102,0.007,-0.367,-0.104,filter_243
0.007,0.082,-0.169,0.107,-0.122,filter_244
-0.046,-0.004,0.003,-0.044,-0.091,filter_245
-0.008,0.048,-0.127,0.114,-0.068,filter_246
0.034,0.05,-0.129,0.175,-0.064,filter_247
-0.074,-0.066,-0.075,-0.139,-0.145,filter_248
-0.022,-0.065,-0.072,-0.299,-0.114,filter_249
-0.073,-0.08,-0.062,-0.237,-0.127,filter_250
-0.018,-0.043,-0.073,-0.207,-0.051,filter_251
0.023,0.079,-0.103,0.257,0.028,filter_252
-0.04,-0.04,-0.134,-0.157,-0.1,filter_253
0.019,0.076,-0.152,0.191,-0.07,filter_254
-0.088,-0.066,-0.065,-0.327,-0.445,filter_255
0.009,0.031,-0.044,-0.004,-0.034,filter_256
-0.044,-0.063,-0.056,-0.141,-0.079,filter_257
0.01,0.007,-0.017,-0.069,0.077,filter_258
-0.002,0.01,-0.118,0.045,0.004,filter_259
-0.053,-0.032,-0.114,-0.001,-0.071,filter_260
-0.036,-0.101,-0.118,-0.227,-0.036,filter_261
0.019,0.072,-0.135,0.244,-0.021,filter_262
-0.02,-0.011,-0.114,-0.064,-0.036,filter_263
-0.009,0.042,-0.021,-0.036,-0.069,filter_264
-0.12,-0.148,-0.085,-0.375,-0.414,filter_265
0.035,0.025,-0.061,0.047,0.03,filter_266
-0.0,-0.008,-0.093,-0.007,-0.075,filter_267
-0.014,-0.023,-0.015,-0.111,-0.031,filter_268
-0.049,-0.044,-0.149,-0.148,-0.197,filter_269
-0.026,-0.011,0.004,-0.037,0.042,filter_270
-0.005,0.011,-0.045,-0.024,0.005,filter_271
0.001,0.032,-0.166,0.054,-0.075,filter_272
0.026,0.078,-0.078,0.183,-0.021,filter_273
0.019,0.021,0.004,0.042,0.039,filter_274
-0.005,0.002,-0.018,0.056,0.059,filter_275
-0.045,-0.044,-0.034,-0.002,-0.118,filter_276
-0.007,-0.024,0.006,-0.013,-0.04,filter_277
-0.013,-0.022,-0.164,-0.161,-0.097,filter_278
