task,model,R2,sp_r,content_of_MAP
muscle,RL_3_cell,0.37844454587808235,0.6151784666892058,0
pc3,RL_3_cell,0.4415005053853056,0.6644550439159188,0
Andrev2015,RL_3_cell,0.3821240713077951,0.6181618487967331,0
pc3,RL_3_cell,0.47109676122068606,0.6863648892685916,0
Andrev2015,RL_3_cell,0.3946260019243466,0.6281926471428543,0
muscle,RL_3_cell,0.3238230681132675,0.5690545387862814,0
pc3,RL_3_cell,0.46910804496420694,0.6849146260405066,0
Andrev2015,RL_3_cell,0.3857794950191389,0.6211114996674421,0
muscle,RL_3_cell,0.3431674353163227,0.5858049464764895,0
Andrev2015,RL_3_cell,0.39415157505561543,0.6278149210202123,0
pc3,RL_3_cell,0.45374535363844076,0.6736062304035205,0
muscle,RL_3_cell,0.46767638049272736,0.6838686865859025,0
muscle,RL_3_cell,0.4177678362749235,0.6463496238684784,0
Andrev2015,RL_3_cell,0.40980706038427317,0.6401617454864615,0
pc3,RL_3_cell,0.43731195861161976,0.6612956665604424,0
Andrev2015,RL_3_cell,0.3947865743237586,0.6283204392057914,0
pc3,RL_3_cell,0.43316316098631863,0.6581513207358309,0
muscle,RL_3_cell,0.39250590711777406,0.6265029186825661,0
muscle,RL_3_cell,0.379266260726376,0.6158459715922285,0
Andrev2015,RL_3_cell,0.37423153013130844,0.6117446608931773,0
pc3,RL_3_cell,0.46048955709290573,0.6785938086166906,0
pc3,RL_3_cell,0.44786268466135065,0.669225436352617,0
Andrev2015,RL_3_cell,0.3832744376119168,0.61909162295408,0
muscle,RL_3_cell,0.41357505795937827,0.6430980158260312,0
pc3,RL_3_cell,0.45659851506542204,0.6757207374836309,0
muscle,RL_3_cell,0.3835314407795236,0.6192991528974697,0
Andrev2015,RL_3_cell,0.3714103770937937,0.6094344731747571,0
Andrev2015,RL_3_cell,0.39573490824437113,0.6290746444138177,0
muscle,RL_3_cell,0.4334136369639765,0.6583415807648614,0
pc3,RL_3_cell,0.4649894308831853,0.6819013351528103,0
human,SubHuman_3C,0.6740409999999999,0.821,1
Andrev2015,SubHuman_3C,0.393129,0.627,1
vleng,SubHuman_3C,0.519841,0.721,1
pc3,SubHuman_3C,0.4747209999999999,0.689,1
muscle,SubHuman_3C,0.0019359999999999,0.044,1
unmod1,SubHuman_3C,0.6822759999999999,0.826,1
human,SubHuman_3C,0.677329,0.823,1
Andrev2015,SubHuman_3C,0.403225,0.635,1
vleng,SubHuman_3C,0.508369,0.713,1
pc3,SubHuman_3C,0.4802489999999999,0.693,1
muscle,SubHuman_3C,0.016384,-0.128,1
unmod1,SubHuman_3C,0.6609689999999999,0.813,1
human,SubHuman_3C,0.6336160000000001,0.796,1
Andrev2015,SubHuman_3C,0.398161,0.631,1
vleng,SubHuman_3C,0.3457439999999999,0.588,1
pc3,SubHuman_3C,0.4719690000000001,0.687,1
muscle,SubHuman_3C,0.019321,-0.139,1
unmod1,SubHuman_3C,0.574564,0.758,1
human,SubHuman_3C,0.6577210000000001,0.811,1
Andrev2015,SubHuman_3C,0.407044,0.638,1
vleng,SubHuman_3C,0.5026809999999999,0.709,1
pc3,SubHuman_3C,0.4844159999999999,0.696,1
muscle,SubHuman_3C,0.003249,0.057,1
unmod1,SubHuman_3C,0.6448090000000001,0.803,1
human,SubHuman_no_M,0.6658559999999999,0.816,2
Andrev2015,SubHuman_no_M,0.391876,0.626,2
vleng,SubHuman_no_M,0.443556,0.666,2
pc3,SubHuman_no_M,0.4733439999999999,0.688,2
unmod1,SubHuman_no_M,0.6496360000000001,0.806,2
human,SubHuman_no_M,0.6400000000000001,0.8,2
Andrev2015,SubHuman_no_M,0.400689,0.633,2
vleng,SubHuman_no_M,0.417316,0.646,2
pc3,SubHuman_no_M,0.446224,0.668,2
unmod1,SubHuman_no_M,0.6336160000000001,0.796,2
human,SubHuman_no_M,0.6512490000000001,0.807,2
Andrev2015,SubHuman_no_M,0.388129,0.623,2
vleng,SubHuman_no_M,0.455625,0.675,2
pc3,SubHuman_no_M,0.4844159999999999,0.696,2
unmod1,SubHuman_no_M,0.6384010000000001,0.799,2
human,SubHuman_no_M,0.6512490000000001,0.807,2
Andrev2015,SubHuman_no_M,0.400689,0.633,2
vleng,SubHuman_no_M,0.4733439999999999,0.688,2
