,TSNE-1,TSNE-2,task_source
206,-49.5216,25.856178,human
207,-23.948141,21.043003,human
208,-27.504093,15.900002,human
209,-30.686691,3.9133725,human
210,-45.919437,7.724934,human
211,-53.567074,9.019313,human
212,-45.761787,-1.6141808,human
213,-25.692915,27.90219,human
214,-35.319542,9.585565,human
215,-45.884506,-5.128612,human
216,-58.360966,9.486515,human
217,-27.018942,16.658287,human
218,-27.121902,24.251186,human
219,-37.77346,5.1587667,human
220,-50.190693,8.4965,human
221,-36.543854,3.4611611,human
222,-27.404226,18.766245,human
223,-37.48781,11.321154,human
224,-48.176403,22.846691,human
225,-44.587746,3.5630891,human
226,-21.471968,24.342075,human
227,-60.488472,10.343162,human
228,-37.828033,12.176245,human
229,-47.31509,-14.353795,human
230,-57.65562,-1.858023,human
231,-38.221977,9.114447,human
232,-24.87397,19.41987,human
233,-46.614643,-0.15356556,human
234,-56.919746,0.10837442,human
235,-35.747505,8.277747,human
236,-44.718956,-3.401165,human
237,-47.77295,-0.5499727,human
238,-29.914762,6.7184086,human
239,-34.292145,31.08794,human
240,-34.280273,8.464967,human
241,-37.58729,7.431106,human
242,-48.33068,22.829998,human
243,-33.153732,8.866994,human
244,-54.6752,11.955125,human
245,-47.173412,-1.0323132,human
246,-34.19874,8.425466,human
247,-59.351913,6.033472,human
248,-46.53591,21.952951,human
249,-35.700283,10.788955,human
250,-35.269028,9.921725,human
251,-33.234318,17.197966,human
252,-44.41743,6.028577,human
253,-48.897507,-14.255114,human
254,-49.853165,-14.86826,human
255,-59.31945,12.088384,human
256,-43.477615,2.3728607,human
257,-48.375168,-1.7337171,human
258,-49.605797,-14.671157,human
259,-56.337357,7.7360687,human
260,-32.990665,6.5976243,human
261,-24.537983,21.523333,human
262,-40.560493,11.2562,human
263,-35.90058,9.228241,human
264,-38.714535,24.975378,human
265,-45.814358,5.3000035,human
266,-44.65261,-2.226244,human
267,-50.54146,9.445638,human
268,-28.993683,25.076504,human
269,-52.70453,-14.005778,human
270,-42.63897,21.360968,human
271,-29.787788,26.018888,human
272,-24.409584,27.641539,human
273,-51.90111,-0.61397916,human
274,-37.7497,7.572115,human
275,-41.945175,8.501351,human
276,-56.978054,-3.0994387,human
277,-43.694416,0.539537,human
278,-42.311264,25.191902,human
279,-35.25877,5.8057365,human
280,-43.960308,-1.6777959,human
281,-24.051468,21.09139,human
282,-57.66702,1.5380691,human
283,-38.02356,13.331634,human
284,-37.99768,12.280185,human
285,-33.729904,6.7140465,human
286,-26.824747,20.978277,human
287,-34.361404,13.893235,human
288,-49.20062,9.998671,human
289,-48.860992,-14.121239,human
290,-33.731457,19.286211,human
291,-58.721943,12.189347,human
292,-42.25457,22.573776,human
293,-37.269398,6.100507,human
294,-34.7759,27.960176,human
295,-34.2405,17.412245,human
296,-54.223217,7.339801,human
297,-38.958317,9.399568,human
298,-54.744995,4.1528187,human
299,-55.32339,12.223406,human
300,-26.818815,21.007568,human
301,-48.956875,9.619804,human
302,-22.43859,20.375172,human
303,-25.417747,18.746628,human
304,-51.652386,6.3872085,human
305,-46.28589,12.320008,human
306,-33.937737,22.81771,human
307,-43.08946,-0.16903181,human
308,-52.443203,-4.342644,human
309,-47.572002,31.225897,human
310,-35.324158,2.0817776,human
311,-43.204132,-0.8254611,human
312,-37.506187,12.448853,human
313,-55.29201,-9.78624,human
314,-34.357418,10.730481,human
315,-49.173164,-0.6681259,human
316,-47.0377,0.50898194,human
317,-53.040756,13.6700945,human
318,-38.033222,9.360528,human
319,-43.305912,2.0315225,human
320,-23.586273,20.673624,human
321,-58.755913,14.138615,human
322,-39.778763,5.22052,human
323,-34.91348,16.92841,human
324,-23.778118,19.347277,human
325,-40.312717,7.061483,human
