TSNE-1,TSNE-2,task_source
7.2844133,-25.415127,unmod1
54.343338,-12.603829,unmod1
51.324543,-37.195522,unmod1
21.347445,-0.45411548,unmod1
43.66386,-30.413359,unmod1
4.789377,-30.585691,unmod1
42.21208,37.47692,unmod1
5.2615657,-21.227285,unmod1
43.784496,33.158703,unmod1
-22.267076,17.924488,unmod1
28.001719,-25.791122,unmod1
45.808575,-28.60524,unmod1
52.686535,-2.8049598,unmod1
6.520565,27.484722,unmod1
4.2806745,-28.251648,unmod1
-17.665485,-47.167526,unmod1
-3.2181067,5.333326,unmod1
21.390734,-15.289297,unmod1
28.757462,-51.648876,unmod1
18.150808,7.4391866,unmod1
22.108786,12.109676,unmod1
39.618435,-21.426542,unmod1
16.654182,38.46669,unmod1
13.936279,2.4588454,unmod1
22.595112,-6.100921,unmod1
-26.548552,13.773849,unmod1
18.78186,-6.7421246,unmod1
12.898362,-43.747242,unmod1
-5.672527,14.922784,unmod1
39.20935,-1.8087951,unmod1
17.210144,-44.504513,unmod1
52.542767,-1.7933943,unmod1
26.807796,-42.87401,unmod1
26.484272,-50.25558,unmod1
19.690994,41.846893,unmod1
22.081593,1.5722884,unmod1
58.317635,23.686182,unmod1
51.310463,-2.351498,unmod1
40.61632,21.621143,unmod1
55.053528,-7.857262,unmod1
31.06388,-22.140577,unmod1
-12.409332,-13.209505,unmod1
55.28112,-4.5121303,unmod1
22.954208,24.661257,unmod1
-6.1451993,-48.46786,unmod1
13.450016,41.235252,unmod1
55.069244,-7.7642217,unmod1
22.450846,-17.436459,unmod1
43.054535,-38.099255,unmod1
42.650116,28.98277,unmod1
-12.3045435,19.47577,unmod1
53.409637,-30.029331,unmod1
12.549809,9.4829,unmod1
34.088806,38.85223,unmod1
35.32859,-41.73512,unmod1
48.83848,-20.123892,unmod1
33.050266,-32.888474,unmod1
56.065746,4.1777377,unmod1
-21.155016,-4.5677466,unmod1
-32.87861,-18.53749,unmod1
34.062183,-44.975086,unmod1
-19.345102,-15.331983,unmod1
21.468103,-54.70587,unmod1
56.358944,-10.065811,unmod1
19.831078,41.985924,unmod1
14.112906,-32.458435,unmod1
26.096008,10.98361,unmod1
53.584835,17.590311,unmod1
49.575603,-21.774794,unmod1
31.928352,-21.845562,unmod1
-2.2351875,-48.09755,unmod1
-25.066608,13.679147,unmod1
-24.887562,16.890158,unmod1
35.870697,-40.318436,unmod1
-32.369553,-1.4689385,unmod1
26.669758,-7.754365,unmod1
30.297005,-45.86415,unmod1
-20.435661,-46.22306,unmod1
-8.879882,21.376532,unmod1
19.321402,39.153362,unmod1
13.006594,15.680272,unmod1
32.762333,-4.173875,unmod1
22.203312,13.504362,unmod1
52.822685,1.8617496,unmod1
23.403328,-8.136491,unmod1
3.8340352,-2.3496616,unmod1
-17.037,-43.568207,unmod1
38.520145,-15.433354,unmod1
51.34731,24.665989,unmod1
38.274906,-6.11373,unmod1
41.74583,33.987507,unmod1
53.925163,-31.011215,unmod1
35.6219,-4.893913,unmod1
53.90224,-7.0761104,unmod1
-24.07616,6.4108872,unmod1
-12.703648,-46.518326,unmod1
35.49805,34.38993,unmod1
27.936625,-6.6149864,unmod1
14.117486,28.548006,unmod1
-0.05020228,-3.6982613,unmod1
24.856665,-5.6904693,unmod1
-12.123161,-1.1289185,unmod1
-12.364957,-47.194595,unmod1
-13.921011,3.405976,unmod1
21.724554,-11.311693,unmod1
-2.8876927,-4.9141417,unmod1
15.543651,9.164389,unmod1
46.048996,-6.1623197,unmod1
34.111126,-18.722895,unmod1
22.021536,11.344197,unmod1
-12.016011,-1.3932459,unmod1
40.362106,-18.97555,unmod1
13.030458,-23.057886,unmod1
10.231641,1.5181186,unmod1
24.110603,40.14012,unmod1
35.09401,-38.672,unmod1
-18.237919,-42.341312,unmod1
9.476507,2.2172585,unmod1
-5.929116,7.9821625,unmod1
22.727865,-39.615223,unmod1
51.624477,-38.501858,unmod1
15.659417,19.829264,unmod1
15.862057,20.995157,unmod1
-27.425657,-5.3303657,unmod1
11.829414,43.665394,unmod1
36.186653,12.73545,unmod1
-14.966505,-42.101322,unmod1
20.593971,-50.22206,unmod1
17.01151,21.42275,unmod1
-2.7588763,-45.23214,unmod1
12.36161,-48.320175,unmod1
-29.163353,-15.5432415,unmod1
8.71826,32.00975,unmod1
40.83238,22.090513,unmod1
11.95687,2.459222,unmod1
15.424205,-55.391808,unmod1
2.660082,-33.62817,unmod1
32.62982,-30.595211,unmod1
23.141588,-10.248734,unmod1
43.104286,36.255905,unmod1
24.343596,-50.54503,unmod1
36.939766,34.507156,unmod1
17.246923,-5.4228563,unmod1
-13.87959,4.789595,unmod1
-13.860349,3.4910803,unmod1
16.16208,36.750725,unmod1
43.778343,17.75186,unmod1
16.13807,-49.864143,unmod1
-59.55763,-1.2781004,unmod1
39.141125,34.677082,unmod1
13.777647,-32.12391,unmod1
-14.131918,-5.304378,unmod1
44.56208,26.744867,unmod1
3.976162,-46.75018,unmod1
42.769783,16.794992,unmod1
45.965534,-11.65442,unmod1
11.8175955,14.175189,unmod1
31.359665,-21.932901,unmod1
31.271717,-21.147282,unmod1
39.836235,20.21532,unmod1
52.86752,-3.8838496,unmod1
38.148624,31.71777,unmod1
20.382341,39.28417,unmod1
22.464563,-37.071674,unmod1
28.449245,-17.738346,unmod1
-6.959342,-43.42,unmod1
16.384167,-41.13191,unmod1
41.873547,22.605381,unmod1
49.22613,-6.3708024,unmod1
-9.454527,-0.20723718,unmod1
40.94846,33.467873,unmod1
-4.0578785,2.2098753,unmod1
27.15346,-44.8589,unmod1
31.908783,-48.3411,unmod1
24.186523,36.187004,unmod1
-5.494507,-38.734867,unmod1
-13.625026,-10.222161,unmod1
40.94587,37.586002,unmod1
32.12138,-21.702574,unmod1
21.481625,33.69754,unmod1
-8.888794,-40.5202,unmod1
13.126006,7.403786,unmod1
44.550945,-1.0086989,unmod1
15.814634,-9.119929,unmod1
-6.6294346,-13.773162,unmod1
-33.64435,6.2956715,unmod1
-1.4204742,-44.603165,unmod1
-5.0775023,-2.0050502,unmod1
6.539214,-29.605503,unmod1
19.971577,37.21017,unmod1
39.240627,-16.13189,unmod1
12.768221,-5.1464496,unmod1
23.139484,-29.691053,unmod1
24.46632,-9.368576,unmod1
9.790982,38.567528,unmod1
-37.162292,-7.7157564,unmod1
-9.890233,-43.323605,unmod1
-14.111449,-50.80177,unmod1
30.884594,-48.22304,unmod1
48.070896,-35.064053,unmod1
27.111,14.056598,unmod1
31.817694,31.086252,unmod1
-7.779055,-35.464363,unmod1
45.503616,-15.296728,unmod1
-17.116564,-39.389927,unmod1
45.01931,26.044504,unmod1
-16.110334,-33.777096,unmod1
-14.2474,-18.059637,unmod1
31.992294,-30.132877,unmod1
21.24183,12.926398,unmod1
-14.967973,-9.552633,unmod1
44.353275,29.122824,unmod1
17.235344,36.619167,unmod1
-11.47945,-7.0733557,unmod1
52.9344,-1.2139125,unmod1
45.2699,33.629738,unmod1
27.281433,-44.323143,unmod1
14.692068,-31.977173,unmod1
22.80654,-46.39501,unmod1
9.391706,34.112198,unmod1
-6.475505,-37.986614,unmod1
22.159569,23.805447,unmod1
38.71151,-15.454047,unmod1
39.831314,35.155293,unmod1
34.133163,29.010511,unmod1
50.84039,-8.0812,unmod1
46.79204,-15.019012,unmod1
25.984463,-3.6609874,unmod1
14.465654,-7.8725405,unmod1
33.508022,-1.7522461,unmod1
-10.391495,-51.024586,unmod1
