TSNE-1,TSNE-2,task_source
-36.207966,-18.45081,human
-15.877911,-15.7691965,human
2.8809698,37.970657,human
-10.989736,-14.697092,human
-19.66315,-27.184467,human
0.71686965,22.919716,human
-5.524475,21.123116,human
-42.0753,25.966404,human
-51.19818,-14.388315,human
-26.714882,29.040623,human
-12.72983,-31.535118,human
-25.256096,-2.3804972,human
-39.400215,26.646324,human
-41.519005,-22.980368,human
-0.9846897,5.2398496,human
-50.61283,14.159287,human
-38.01206,41.226906,human
-34.379787,-20.311043,human
-35.789173,36.94252,human
-32.72454,9.056055,human
-16.675817,34.900307,human
-16.328697,-15.080564,human
18.131882,16.517328,human
-36.0198,-29.069275,human
-51.42781,4.33878,human
10.337527,20.870117,human
-38.44687,14.639861,human
-12.042096,-15.309752,human
-40.792835,34.734474,human
-15.8508215,1.0040857,human
-33.376736,37.66517,human
-53.54508,-15.181448,human
-41.131355,23.115847,human
-41.01459,24.186298,human
-53.997303,9.099377,human
1.6024452,-11.989461,human
5.3468714,19.424648,human
-36.506172,28.118141,human
-1.7331969,-3.4545457,human
-15.503069,-12.808038,human
-17.461708,40.743107,human
-38.837143,-29.807291,human
14.906925,7.0779905,human
-26.899834,37.725204,human
-0.14779049,37.673336,human
-23.013027,-18.46998,human
-15.097924,15.555032,human
-15.186079,-29.780964,human
-31.247753,-3.332669,human
9.610867,14.272861,human
-38.95613,-28.66248,human
-33.913403,-7.346203,human
-52.87745,-14.496112,human
-21.810001,-17.294865,human
-41.09569,-20.75312,human
-49.580864,-5.089177,human
-35.137726,20.36223,human
-23.628714,2.616995,human
-2.6220005,4.489798,human
-42.5307,-24.347757,human
-38.545643,-31.591444,human
-15.221713,-28.578773,human
-23.288626,33.99125,human
4.7446585,3.0590217,human
-28.843872,6.3143163,human
4.392821,-27.179379,human
-39.75178,-35.789684,human
8.102838,5.8113594,human
-35.86502,20.238314,human
-20.472065,-4.150674,human
-24.548416,19.248844,human
-23.413424,-1.6453001,human
-38.564556,6.5011272,human
-14.888563,8.012928,human
6.5642705,-7.6974335,human
-54.55519,10.649554,human
-12.688466,7.992304,human
-22.024326,-15.979872,human
-24.854427,37.38148,human
-36.052296,24.092363,human
-8.531182,-6.3271084,human
-18.009682,-14.01469,human
-7.920663,4.2919183,human
-28.890076,28.2837,human
-39.62896,26.346025,human
-17.833733,7.9032426,human
-13.773927,6.2995405,human
0.07489051,-5.545905,human
-24.027527,37.70902,human
-38.269077,-2.720024,human
-33.048027,-15.165424,human
-20.445053,37.645145,human
-23.80807,8.630996,human
-38.74222,4.9189296,human
-19.742142,36.167828,human
1.9582552,-21.872362,human
-25.991009,32.320335,human
-45.14239,0.9684526,human
-12.303663,-13.47199,human
-7.863881,11.081673,human
-15.041721,19.477531,human
-42.08161,16.009027,human
-23.144604,-27.52218,human
-34.784737,-21.602736,human
-11.991745,32.1855,human
-32.671394,-19.776415,human
-7.549613,10.819805,human
-5.546948,-1.7850418,human
7.5185637,-2.5130248,human
-21.73939,33.572464,human
-45.463535,7.3414245,human
-24.708895,32.31084,human
-17.232822,-5.9701905,human
-37.080036,-18.234425,human
-23.819298,7.4888115,human
6.0375576,-11.549393,human
-32.864788,-30.239178,human
-51.19256,12.785267,human
-26.269012,-34.542526,human
-45.489906,-6.509111,human
-15.407641,-23.705692,human
-20.169754,-20.40203,human
-27.289148,1.9442366,human
-44.8509,-4.1211357,human
5.3476253,32.775272,human
-38.35889,-31.657164,human
-43.41099,-30.04397,human
-42.260548,29.529547,human
-28.568295,10.438413,human
-28.550196,-31.626303,human
-16.59847,41.460518,human
-48.05581,-8.679388,human
-17.755985,-25.918919,human
0.43426493,16.132166,human
-40.741,-25.76786,human
4.5866036,5.3939886,human
-54.028522,12.316836,human
-29.805006,31.93171,human
-22.660563,28.287254,human
-40.137535,-12.146991,human
7.4215198,-7.117184,human
-35.55774,-20.058966,human
-18.615747,-7.195094,human
-29.49683,30.624748,human
-37.089756,-13.578505,human
-27.383545,18.129492,human
-18.102047,-13.842146,human
-21.185701,-10.759957,human
9.155408,-3.9009829,human
5.282214,-29.069675,human
-36.65466,1.8628395,human
9.781642,29.357569,human
-16.161957,18.322,human
-28.803705,26.303854,human
-47.483486,20.94691,human
-18.470444,-9.623748,human
-26.916416,7.070621,human
-30.4263,-1.3951818,human
-19.042187,44.042084,human
-35.528637,-8.04565,human
-44.087227,-31.363926,human
-42.42291,-22.706018,human
-51.31254,7.5194755,human
-13.187212,46.24751,human
-18.959183,22.383486,human
-32.173336,-30.618832,human
-29.62548,-16.011875,human
-24.287443,-25.526438,human
-27.011965,-20.098207,human
-45.037937,-3.1813555,human
-31.155033,-22.246235,human
12.659611,19.531277,human
-42.27231,23.569014,human
-24.242489,11.897742,human
5.006634,19.021936,human
-42.33453,-27.641273,human
-20.876331,40.632877,human
-0.6565634,-9.079088,human
-9.835235,-14.250123,human
-42.544315,-4.9815903,human
-13.690296,41.88868,human
-16.681095,6.6919613,human
-48.461617,7.634194,human
-29.387625,25.889744,human
-36.153133,-33.003716,human
-47.85738,19.42192,human
-22.322163,-22.784317,human
-50.711338,-25.160074,human
-38.212185,-31.698164,human
-14.379496,-13.927473,human
-41.19114,-6.1596785,human
-25.696484,-10.828487,human
-51.065857,-10.334974,human
-45.54962,28.370152,human
-38.289345,-14.31035,human
-48.94767,6.1727266,human
-4.3668165,-7.259185,human
-37.594315,4.793634,human
-35.066223,-30.212212,human
-6.7772655,12.380535,human
-53.241417,-10.328909,human
-14.510436,-15.2309,human
-48.13468,-7.394572,human
-23.386839,10.79948,human
-17.397402,-18.78243,human
-42.97574,-32.26998,human
-15.670407,-12.760245,human
-13.274162,-18.976786,human
-21.31725,10.896505,human
-45.90795,-24.20201,human
-13.838321,-21.311085,human
-25.992826,37.829075,human
-29.377157,29.489756,human
5.6605234,9.774432,human
-23.851997,-9.084071,human
-17.666327,-24.516209,human
-52.46178,15.203692,human
-36.75601,-9.495198,human
-41.270405,-34.447487,human
-26.550224,12.2651415,human
-16.268476,3.4018564,human
-11.181477,-5.285346,human
-35.678295,11.04938,human
-19.04572,40.49153,human
-23.026203,24.595636,human
-41.37452,-29.049765,human
-35.86955,3.0283873,human
-31.160603,2.0243447,human
-46.47543,0.712091,human
-44.03663,-26.484379,human
-18.491026,-12.673127,human
-18.03952,26.540047,human
-51.943653,-12.912784,human
-30.768507,-10.684554,human
-18.072289,-5.458835,human
2.0575569,-2.327511,human
-38.10876,-25.818937,human
-31.085299,-37.223637,human
-31.464453,-22.180855,human
-16.059536,-17.660877,human
-19.334145,3.5434651,human
5.892062,-14.532516,human
-19.145544,-21.794037,human
-12.04085,18.544418,human
12.580484,-14.314389,human
-49.128357,2.8866591,human
-33.992065,1.8438022,human
-4.6577153,6.5231285,human
-29.549135,-9.685641,human
-24.694017,-27.076414,human
-21.233843,47.078648,human
-11.751164,-19.036295,human
-5.5711637,44.580803,human
-24.265543,-3.2609851,human
-1.533248,23.122015,human
-52.64155,7.0645485,human
-24.617708,-16.92022,human
-34.16513,34.32545,human
16.069843,16.780985,human
-56.16028,-0.075463705,human
-47.63549,18.541218,human
-39.398224,16.343136,human
-18.847786,-14.100121,human
-47.847923,-15.065751,human
-40.924187,1.7800944,human
-17.122715,48.84562,human
-22.457306,-17.87689,human
-24.296265,37.86508,human
14.921674,16.74092,human
-6.1206245,-15.275785,human
-34.74488,30.969425,human
-18.669756,-11.35503,human
-50.33402,-20.293505,human
-19.587786,30.57631,human
-35.365105,30.22989,human
-44.096966,2.6261015,human
-38.800457,38.921112,human
-41.70218,-30.302143,human
-20.970886,-12.063943,human
-39.08141,-38.29272,human
-34.730824,23.528282,human
-35.011753,-29.309484,human
-26.93999,-8.74483,human
-40.021976,25.820763,human
-11.975824,-25.43607,human
-38.865154,-36.90835,human
-30.258593,40.06387,human
-18.480072,13.864159,human
-13.171519,19.521955,human
-36.792843,37.836407,human
7.471456,-13.814196,human
-18.097734,-12.933284,human
-38.95306,-26.251383,human
-33.39376,-10.768429,human
-23.620836,-1.5759058,human
-17.549713,14.931333,human
10.987503,7.0469484,human
-22.883524,33.473938,human
0.17307365,14.629335,human
-37.5614,41.740925,human
-27.023623,-14.142803,human
-25.237642,-9.897754,human
-58.08636,7.68416,human
-45.411858,-2.1102512,human
-42.22725,-22.533163,human
-22.645546,24.564466,human
-16.888641,41.57065,human
-26.900227,26.04763,human
-8.60698,17.03555,human
16.137947,-0.7497912,human
-1.907305,-8.520813,human
-8.331614,39.70813,human
-35.201973,10.928342,human
-48.17132,-12.6763315,human
-5.99312,-19.411333,human
-38.1535,22.758188,human
-15.634132,-13.946762,human
-21.429365,24.536371,human
-23.243477,-27.50134,human
-37.592567,-36.159664,human
-34.396126,4.558663,human
-36.40433,-22.744116,human
-30.672321,-17.00456,human
-16.390331,40.39819,human
-41.01862,-27.166687,human
3.1832821,10.792252,human
13.072278,4.5429525,human
14.871804,13.675041,human
2.7650726,37.924194,human
-35.613262,28.799177,human
-16.93619,4.4504027,human
-25.179403,-13.287362,human
-26.544613,25.85471,human
-35.06942,25.627388,human
-34.33971,6.3756595,human
-23.215483,32.32134,human
-36.92331,26.28936,human
-10.80402,13.696748,human
-31.73965,-19.794218,human
-51.013824,8.491815,human
-51.48986,-6.736378,human
-19.156736,-20.847523,human
-39.112347,19.939451,human
-14.046012,-16.85067,human
-7.4862194,-5.248617,human
-14.813147,7.184508,human
-29.43119,36.008904,human
-38.1659,-24.973331,human
9.589979,13.511569,human
-16.692144,-34.968037,human
-11.000325,22.598799,human
-6.309087,3.059467,human
-41.193787,4.4195204,human
-4.342273,26.464556,human
-24.124414,-19.721336,human
-37.459187,0.0684997,human
-29.44673,14.097176,human
-17.385435,-24.381363,human
-28.800869,7.321681,human
-50.83254,6.379067,human
12.8934,-4.088275,human
-39.567947,30.208366,human
-13.492495,-25.763899,human
-15.041979,-12.215679,human
-17.915184,39.467827,human
-20.873043,32.76929,human
-6.6252165,31.22049,human
-15.716549,-16.220713,human
1.1438822,31.79897,human
-34.838608,-26.626717,human
1.1720147,25.207039,human
-41.142586,-28.133516,human
-29.355621,4.950059,human
-43.634125,-24.082233,human
-10.57558,-22.873472,human
-21.349676,-13.906564,human
-28.456858,0.88418305,human
-15.909864,1.7311723,human
-44.78937,-17.304296,human
-17.647442,31.372755,human
-45.614582,22.57714,human
-29.145634,-35.12618,human
-28.24596,4.5732374,human
-23.372757,17.119038,human
-38.617825,11.3670635,human
-10.583566,12.736714,human
-34.93019,17.105087,human
-21.186666,37.325546,human
-13.755812,-14.053292,human
-17.252764,2.0668097,human
-16.983845,-15.505777,human
-36.1802,32.833744,human
-49.49098,-16.929998,human
-40.686005,-36.655125,human
-40.55694,20.147917,human
-14.59358,-25.096455,human
-53.380962,-11.241272,human
-44.84862,-23.94733,human
-44.577206,25.628656,human
-38.50127,-10.722725,human
-24.690748,-10.477986,human
-33.528984,-24.355484,human
-44.238598,-10.7368,human
-54.640778,-8.877741,human
-14.373728,4.3207936,human
-54.503494,-9.582963,human
-39.209286,-14.009992,human
-13.989094,35.662956,human
-41.35195,-9.188131,human
-7.6539745,-15.290697,human
-42.238537,-35.167366,human
-20.929956,-15.206039,human
-17.475115,2.3984995,human
-12.912566,10.750322,human
-37.763138,15.734636,human
-34.244713,4.5434837,human
-29.257555,29.093739,human
-50.837357,6.2209544,human
-19.990849,10.116805,human
-35.672432,37.65826,human
-25.121859,37.66275,human
-45.31485,7.980817,human
7.9403296,28.876371,human
-31.949642,28.355421,human
-8.667751,24.212402,human
-17.060833,18.228148,human
-19.871988,-16.307981,human
-35.37962,18.002975,human
-31.013502,-19.586548,human
-16.395716,-18.108671,human
-29.820414,-31.268906,human
-23.689447,32.76551,human
-16.508621,13.313308,human
-50.839573,-8.194774,human
-17.944645,9.172611,human
-32.25016,-10.936732,human
-34.792294,27.553059,human
4.117577,15.959616,human
-35.23036,2.9921424,human
-1.9046612,16.150236,human
-4.7910824,-22.323114,human
-1.4325141,1.4472796,human
17.202574,-8.415458,human
-45.383385,29.845287,human
-35.15932,-16.452635,human
-23.173223,-24.758501,human
-34.704254,21.444342,human
6.376451,-4.260562,human
-27.229794,-7.4704485,human
4.413074,6.2751036,human
-12.948718,-31.221731,human
