TSEN_xcord,TSEN_ycord,peason_r,spearman_r
14.5194,7.9340134,-0.315,-0.273
10.798942,9.932295,0.091,0.15
14.138916,8.271457,0.11,0.091
13.468637,6.694632,-0.006,-0.015
15.524887,8.306102,-0.168,-0.219
10.972411,7.93307,0.186,0.181
13.680521,9.499195,0.018,0.018
11.863709,10.88884,0.225,0.234
14.319517,8.607415,-0.327,-0.297
12.013522,12.669087,0.221,0.24
12.076845,12.700849,0.156,0.176
13.11073,8.672929,-0.145,-0.137
11.966355,10.455619,0.104,0.127
12.404549,9.483954,0.077,0.065
11.9299135,11.111574,0.048,0.053
11.149732,10.069837,0.055,0.08
12.0550375,12.609518,0.17,0.203
12.955543,7.853153,-0.395,-0.374
12.756512,8.8617325,-0.063,-0.061
11.540373,7.5487037,-0.008,-0.015
11.663905,10.167746,0.272,0.263
12.574914,7.844342,-0.115,-0.105
10.803931,9.582418,-0.03,-0.027
12.914351,6.809879,-0.194,-0.203
14.965266,10.696453,-0.202,-0.14
13.775759,6.7821646,0.008,-0.008
12.709207,7.837783,-0.362,-0.346
13.307681,10.68986,0.245,0.271
11.792581,8.327172,-0.432,-0.435
15.152708,10.243076,-0.451,-0.453
13.48571,8.241395,-0.417,-0.404
15.607057,8.528679,0.1,0.092
14.695658,8.017146,-0.138,-0.063
12.72642,8.162225,-0.283,-0.333
11.85993,9.892645,0.036,0.04
10.807937,9.992086,0.081,0.088
13.478973,9.627954,0.02,0.016
14.229549,10.187573,-0.004,-0.052
11.306984,9.923633,0.205,0.227
14.338872,9.853977,0.103,0.111
14.446063,10.80601,-0.14,-0.15
11.02532,9.051026,-0.042,-0.006
11.432462,11.205465,0.151,0.176
11.920654,7.123671,-0.123,-0.138
13.264359,10.334664,0.102,0.114
11.478137,8.494806,-0.369,-0.343
14.010345,9.926172,-0.009,0.002
15.617088,10.450095,-0.269,-0.241
12.412053,12.028098,0.202,0.242
11.927075,7.436238,-0.123,-0.143
14.024734,8.724214,0.193,0.191
15.257392,10.833097,-0.197,-0.163
13.9770355,8.674299,-0.075,-0.129
12.836727,10.130966,0.307,0.314
11.977984,12.608899,0.294,0.343
10.772467,9.750874,0.091,0.112
13.992213,7.9450755,-0.236,-0.22
10.952131,8.307864,-0.212,-0.205
10.95112,8.498125,-0.347,-0.331
14.5693865,9.9567,0.33,0.36
12.929968,7.0781975,-0.383,-0.404
11.763598,8.915128,0.07,0.071
15.756368,8.291355,0.035,0.032
13.566203,10.0439005,-0.013,-0.033
10.476317,9.969733,0.206,0.229
13.53089,8.1566925,-0.155,-0.191
13.732958,11.669841,0.265,0.304
13.2265215,7.3784957,-0.058,-0.125
14.537492,10.253492,-0.054,-0.062
13.759611,6.7051506,0.034,0.028
15.357003,10.037873,-0.444,-0.389
12.645482,7.982882,-0.294,-0.339
12.549782,6.6066117,-0.225,-0.235
11.078908,11.249226,0.306,0.322
12.297678,6.980031,-0.217,-0.244
13.28146,7.8029127,-0.366,-0.36
13.935703,10.038921,-0.016,-0.042
13.448438,10.134403,0.122,0.121
12.741663,9.944744,0.107,0.108
12.593512,6.860576,-0.23,-0.296
13.928032,6.8798227,0.046,0.042
14.230197,10.861025,0.057,0.039
11.229506,9.226373,-0.171,-0.186
12.83635,10.66159,-0.012,-0.021
14.486132,8.273797,-0.346,-0.341
14.281187,8.77775,0.175,0.199
12.250475,9.815512,0.212,0.213
10.816298,8.901844,-0.28,-0.286
11.489113,11.141229,0.07,0.066
11.248068,8.742019,-0.36,-0.385
15.770401,8.333422,0.047,0.02
13.516219,11.6540165,0.258,0.28
