unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.218,-0.157,-0.21,-0.051,-0.083,-0.058,filter_97
-0.04,-0.239,-0.047,-0.014,-0.055,-0.059,filter_98
-0.01,-0.004,-0.023,0.021,-0.032,0.036,filter_99
-0.075,-0.26,-0.051,-0.053,0.061,-0.067,filter_100
0.062,0.107,0.044,0.031,-0.008,0.05,filter_101
0.015,0.052,0.015,-0.011,-0.033,0.047,filter_102
-0.006,0.159,-0.036,-0.021,-0.017,0.05,filter_103
0.049,0.214,0.039,0.043,0.026,0.084,filter_104
0.033,-0.121,0.017,0.023,0.024,-0.006,filter_105
0.003,0.202,-0.019,0.004,-0.033,0.082,filter_106
0.015,0.16,0.011,0.051,-0.139,0.099,filter_107
-0.091,-0.089,-0.113,-0.019,0.08,0.014,filter_108
-0.343,-0.292,-0.345,-0.063,-0.12,-0.083,filter_109
-0.002,0.108,-0.019,0.032,-0.096,0.057,filter_110
-0.123,0.123,-0.116,-0.054,-0.098,0.018,filter_111
-0.047,-0.203,-0.051,0.009,0.088,0.0,filter_112
-0.008,-0.161,-0.033,-0.008,-0.108,-0.053,filter_113
-0.266,-0.132,-0.246,-0.039,-0.085,-0.033,filter_114
0.052,0.078,0.067,-0.026,0.003,-0.029,filter_115
-0.034,-0.011,-0.042,-0.034,0.034,-0.009,filter_116
-0.131,-0.154,-0.136,-0.011,0.006,-0.055,filter_117
0.027,-0.074,0.042,0.009,0.13,0.001,filter_118
0.073,0.202,0.053,0.013,0.055,0.059,filter_119
-0.342,-0.401,-0.321,-0.101,-0.146,-0.111,filter_120
-0.058,0.12,-0.068,-0.031,-0.039,0.023,filter_121
-0.132,-0.063,-0.141,0.02,-0.053,0.012,filter_122
0.082,0.18,0.069,0.041,0.01,0.069,filter_123
0.021,-0.159,0.003,0.004,0.085,-0.009,filter_124
0.091,0.205,0.076,-0.02,0.139,0.029,filter_125
0.016,0.09,0.007,0.004,0.053,-0.016,filter_126
0.049,0.07,0.044,0.052,-0.051,0.071,filter_127
-0.26,-0.335,-0.248,-0.123,-0.041,-0.139,filter_128
0.021,-0.267,0.024,0.003,0.064,-0.028,filter_129
-0.131,0.006,-0.105,-0.009,-0.125,0.005,filter_130
0.084,0.075,0.045,0.019,0.063,0.017,filter_131
0.02,0.073,0.04,-0.009,0.059,0.043,filter_132
0.062,0.318,0.044,0.011,0.053,0.077,filter_133
0.012,0.04,-0.04,-0.021,-0.04,0.04,filter_134
-0.008,-0.112,0.03,0.014,0.079,0.019,filter_135
0.081,0.163,0.052,0.054,0.004,0.076,filter_136
0.027,0.179,0.007,-0.009,-0.006,0.052,filter_137
0.095,0.27,0.058,0.008,-0.139,0.088,filter_138
-0.148,-0.041,-0.146,-0.003,-0.131,0.02,filter_139
0.014,-0.146,-0.009,0.022,-0.225,0.005,filter_140
-0.307,-0.364,-0.284,-0.089,-0.008,-0.151,filter_141
0.088,0.12,0.053,-0.013,0.024,0.013,filter_142
0.046,0.051,0.028,-0.015,-0.049,0.001,filter_143
-0.091,-0.242,-0.108,-0.066,-0.136,-0.125,filter_144
-0.015,0.096,-0.023,0.02,0.025,0.05,filter_145
0.092,0.128,0.073,0.029,0.098,0.026,filter_146
