unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.069,-0.109,-0.086,-0.057,-0.058,-0.095,filter_94
-0.204,0.193,-0.175,-0.005,-0.047,0.08,filter_95
-0.156,-0.389,-0.145,-0.04,-0.036,-0.118,filter_96
0.055,0.279,-0.017,0.025,-0.172,0.092,filter_97
-0.009,0.064,0.007,0.017,-0.003,0.048,filter_98
-0.116,-0.326,-0.154,-0.057,-0.058,-0.094,filter_99
-0.118,-0.141,-0.098,-0.003,-0.065,0.001,filter_100
0.03,-0.09,0.045,0.003,0.03,-0.047,filter_101
0.014,-0.198,0.028,-0.005,-0.048,-0.067,filter_102
-0.467,-0.202,-0.437,-0.087,-0.026,-0.043,filter_103
-0.052,0.018,-0.072,-0.023,-0.078,-0.008,filter_104
0.007,-0.04,-0.016,-0.015,-0.086,0.035,filter_105
-0.036,-0.059,-0.072,-0.014,-0.061,0.002,filter_106
-0.38,-0.204,-0.384,-0.086,-0.009,-0.017,filter_107
-0.025,0.139,-0.046,0.019,-0.091,0.051,filter_108
-0.082,-0.233,-0.101,-0.009,-0.102,-0.061,filter_109
0.011,0.224,-0.029,0.006,-0.034,0.073,filter_110
-0.034,-0.099,-0.058,-0.012,-0.146,-0.014,filter_111
-0.029,-0.166,-0.027,0.006,-0.0,0.001,filter_112
-0.036,0.118,-0.046,-0.016,-0.18,-0.022,filter_113
-0.168,-0.072,-0.177,-0.006,-0.077,0.005,filter_114
-0.048,-0.129,-0.078,-0.032,-0.146,-0.017,filter_115
-0.011,-0.151,-0.016,-0.029,-0.024,-0.101,filter_116
0.088,0.206,0.063,0.033,0.039,0.034,filter_117
0.052,0.202,0.067,0.021,0.007,0.101,filter_118
-0.067,-0.043,-0.084,-0.032,-0.08,-0.006,filter_119
0.053,0.033,0.049,-0.02,0.043,0.016,filter_120
-0.138,0.1,-0.149,-0.036,-0.034,0.037,filter_121
-0.061,0.254,-0.056,0.004,-0.052,0.093,filter_122
-0.041,-0.03,-0.045,-0.06,-0.045,-0.03,filter_123
-0.344,-0.287,-0.331,-0.074,-0.098,-0.078,filter_124
-0.312,-0.405,-0.276,-0.094,-0.004,-0.12,filter_125
-0.396,-0.228,-0.402,-0.064,-0.061,-0.034,filter_126
0.052,0.078,0.014,0.001,0.031,0.012,filter_127
-0.051,-0.325,-0.056,-0.004,-0.08,-0.088,filter_128
-0.053,-0.192,-0.098,-0.038,-0.048,-0.036,filter_129
-0.007,-0.218,-0.033,-0.031,-0.029,-0.102,filter_130
-0.115,-0.142,-0.131,-0.067,-0.06,-0.115,filter_131
-0.302,-0.11,-0.313,-0.056,-0.102,-0.021,filter_132
-0.028,-0.098,-0.026,-0.0,-0.042,-0.027,filter_133
-0.452,-0.313,-0.435,-0.121,-0.11,-0.107,filter_134
-0.163,-0.245,-0.157,-0.03,0.006,-0.039,filter_135
0.104,0.286,0.07,0.033,0.059,0.071,filter_136
-0.011,-0.056,-0.035,-0.014,-0.097,-0.0,filter_137
0.049,-0.056,-0.004,-0.015,-0.102,0.011,filter_138
-0.225,-0.099,-0.22,-0.031,-0.008,-0.03,filter_139
-0.067,-0.141,-0.074,-0.027,-0.079,-0.031,filter_140
0.017,0.2,-0.027,-0.002,-0.126,0.073,filter_141
-0.421,-0.334,-0.419,-0.11,-0.128,-0.1,filter_142
-0.477,-0.343,-0.465,-0.113,-0.061,-0.109,filter_143
-0.064,-0.124,-0.1,0.017,0.051,-0.01,filter_144
-0.041,-0.028,-0.054,-0.002,-0.072,-0.019,filter_145
-0.224,-0.32,-0.274,-0.068,-0.072,-0.124,filter_146
-0.041,-0.027,-0.043,-0.018,0.018,-0.009,filter_147
-0.001,0.033,-0.031,0.005,-0.051,-0.002,filter_148
-0.14,0.003,-0.138,-0.019,-0.045,0.023,filter_149
-0.217,0.064,-0.2,-0.01,-0.113,0.033,filter_150
-0.284,-0.08,-0.288,-0.041,-0.043,-0.002,filter_151
-0.004,0.054,-0.032,-0.029,-0.099,-0.028,filter_152
-0.003,-0.058,-0.009,-0.041,0.107,-0.095,filter_153
-0.303,-0.275,-0.284,-0.083,-0.115,-0.076,filter_154
-0.035,-0.057,-0.063,-0.006,-0.065,-0.012,filter_155
-0.163,0.052,-0.188,-0.03,-0.012,0.015,filter_156
-0.085,-0.198,-0.073,-0.046,-0.127,-0.06,filter_157
0.032,0.072,-0.025,0.021,-0.158,0.027,filter_158
-0.077,-0.274,-0.065,0.013,-0.13,-0.031,filter_159
-0.455,-0.256,-0.449,-0.091,-0.135,-0.064,filter_160
0.097,0.124,0.065,-0.001,0.073,0.042,filter_161
0.002,0.06,0.008,-0.019,0.023,0.001,filter_162
-0.33,-0.151,-0.347,-0.082,0.024,-0.017,filter_163
-0.193,-0.353,-0.189,-0.029,-0.061,-0.052,filter_164
-0.245,-0.445,-0.216,-0.054,-0.033,-0.121,filter_165
-0.197,-0.287,-0.214,-0.087,-0.052,-0.14,filter_166
-0.024,0.307,-0.025,0.033,-0.075,0.079,filter_167
-0.287,-0.325,-0.294,-0.068,-0.105,-0.069,filter_168
-0.359,-0.462,-0.359,-0.123,-0.115,-0.179,filter_169
-0.352,-0.084,-0.32,-0.043,-0.072,-0.001,filter_170
-0.179,-0.182,-0.195,-0.028,0.042,-0.012,filter_171
-0.323,-0.494,-0.31,-0.118,-0.153,-0.171,filter_172
0.057,0.244,0.002,-0.002,-0.052,0.068,filter_173
0.111,0.187,0.059,0.025,-0.02,0.094,filter_174
-0.057,-0.151,-0.098,-0.026,-0.012,-0.072,filter_175
-0.019,-0.252,-0.019,-0.03,-0.07,-0.086,filter_176
0.023,0.299,-0.004,0.021,0.026,0.081,filter_177
-0.218,-0.454,-0.212,-0.087,-0.071,-0.157,filter_178
0.088,0.157,0.025,-0.013,-0.06,0.071,filter_179
-0.177,0.049,-0.158,-0.046,-0.098,0.024,filter_180
-0.47,-0.325,-0.456,-0.1,-0.151,-0.077,filter_181
0.011,-0.053,-0.011,0.006,-0.062,0.008,filter_182
-0.204,-0.23,-0.235,-0.034,0.003,-0.025,filter_183
-0.032,-0.216,-0.063,-0.035,-0.077,-0.05,filter_184
0.024,-0.161,0.001,-0.028,-0.068,-0.07,filter_185
-0.235,-0.206,-0.239,-0.035,-0.07,-0.066,filter_186
0.008,-0.05,-0.034,0.001,-0.026,0.016,filter_187
-0.092,-0.22,-0.054,-0.043,-0.052,-0.061,filter_188
-0.073,-0.329,-0.064,-0.026,-0.019,-0.111,filter_189
0.118,0.345,0.092,0.02,-0.035,0.105,filter_190
-0.144,-0.188,-0.153,-0.054,-0.024,-0.047,filter_191
-0.018,-0.246,-0.006,-0.008,-0.016,-0.056,filter_192
-0.191,-0.334,-0.168,-0.034,-0.047,-0.052,filter_193
-0.159,-0.029,-0.169,-0.021,-0.103,0.004,filter_194
0.04,0.05,-0.01,0.0,-0.043,0.016,filter_195
0.008,-0.014,-0.002,-0.03,-0.06,-0.097,filter_196
-0.051,-0.051,-0.079,-0.044,-0.069,-0.07,filter_197
0.035,0.082,0.051,0.031,-0.013,0.009,filter_198
-0.012,-0.202,-0.044,-0.05,-0.02,-0.071,filter_199
-0.035,-0.095,-0.089,-0.025,-0.111,0.011,filter_200
-0.013,0.122,-0.034,-0.012,-0.073,0.044,filter_201
0.004,-0.237,-0.008,0.004,-0.031,-0.031,filter_202
-0.085,0.25,-0.079,0.024,-0.066,0.068,filter_203
0.039,0.032,-0.023,-0.01,-0.032,0.043,filter_204
-0.237,-0.309,-0.245,-0.056,-0.003,-0.138,filter_205
