unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.04,0.021,-0.085,-0.021,-0.034,0.04,filter_96
0.004,0.293,0.008,0.022,-0.075,0.083,filter_97
-0.278,-0.283,-0.277,-0.079,-0.085,-0.122,filter_98
0.04,0.242,0.022,0.01,-0.019,0.092,filter_99
-0.127,0.056,-0.138,-0.017,-0.071,0.051,filter_100
-0.062,0.124,-0.055,-0.01,-0.044,0.035,filter_101
0.039,0.194,0.001,0.02,-0.105,0.074,filter_102
-0.078,0.165,-0.071,-0.019,-0.068,0.032,filter_103
0.037,0.224,0.023,0.041,-0.092,0.102,filter_104
-0.23,-0.246,-0.25,-0.07,-0.027,-0.119,filter_105
0.038,0.019,-0.023,-0.029,-0.015,0.043,filter_106
-0.377,-0.263,-0.389,-0.108,-0.123,-0.096,filter_107
-0.206,-0.131,-0.196,-0.033,-0.074,0.017,filter_108
-0.106,-0.115,-0.14,-0.014,-0.081,-0.005,filter_109
0.021,-0.289,-0.004,0.012,0.082,-0.066,filter_110
-0.038,0.171,-0.056,-0.008,-0.064,0.057,filter_111
-0.071,-0.094,-0.098,-0.025,-0.032,-0.047,filter_112
0.018,0.01,-0.001,0.017,0.093,0.007,filter_113
-0.045,0.127,-0.046,0.01,-0.009,0.051,filter_114
0.119,0.254,0.057,0.024,-0.039,0.071,filter_115
-0.119,-0.115,-0.143,-0.012,-0.064,0.011,filter_116
-0.087,-0.012,-0.085,-0.046,-0.068,-0.008,filter_117
-0.124,-0.221,-0.168,-0.045,-0.044,-0.053,filter_118
0.094,0.265,0.09,0.0,0.007,0.078,filter_119
0.014,0.058,-0.027,-0.0,-0.044,0.047,filter_120
-0.082,0.149,-0.113,-0.012,-0.014,0.076,filter_121
-0.365,-0.234,-0.377,-0.075,-0.022,-0.034,filter_122
-0.025,-0.055,-0.064,-0.016,-0.117,-0.018,filter_123
-0.168,-0.276,-0.183,-0.069,-0.082,-0.097,filter_124
-0.238,-0.361,-0.236,-0.05,-0.043,-0.104,filter_125
0.028,0.112,-0.024,0.004,-0.07,0.026,filter_126
