unmod1,human,vleng,Andrev2015,muscle,pc3
-0.05548969,-0.17458674,-0.04068784,-0.273674,0.17055455,-0.25789797
-0.015624911,-0.12378876,-0.14286518,0.0771844,0.04506379,0.14305297
-0.021652907,-0.020245291,-0.005564041,0.16951235,0.05121893,-0.07164258
0.15923548,0.22742626,0.24496095,0.19737807,0.028302472,0.12327043
-0.23165067,-0.06860207,-0.17906025,-0.044904,-0.1861799,0.007293255
-0.29739466,-0.27563557,-0.25806054,0.1320401,0.017944397,0.003430623
-0.05951806,0.017600317,-0.08535219,0.0007884192,-0.04256782,0.067889996
-0.26014355,-0.17025618,-0.29796156,0.030268803,-0.08604799,-0.008023047
-0.038081817,0.059385616,-0.02623959,0.08559965,-0.15713379,0.108493656
0.074526496,0.090943255,0.07749449,-0.07289139,0.1587764,0.096316874
0.16161329,0.15314876,0.19157779,0.123886935,0.2362061,-0.099580675
0.25199997,0.2558593,0.18311363,0.10940968,0.021941056,0.18081835
0.108321205,0.0879269,0.050466087,-0.111195974,-0.017986463,0.18722953
0.27867618,0.19635773,0.32956177,-0.1161293,0.08005442,0.12546821
-0.11833163,-0.26268035,-0.04033512,0.24216993,0.20375195,0.33097017
0.00093614176,-0.044101868,-0.010321169,-0.011658138,-0.15888025,-0.07157876
0.063919,0.10205161,0.12759423,0.3347546,-0.022754174,-0.27361247
-0.10923593,-0.36231402,-0.10465351,-0.004562053,0.040098958,0.063735865
0.08948401,0.1360204,0.030662587,-0.0057175313,0.17241833,-0.03868273
-0.05469133,-0.204795,-0.108151145,-0.0018008456,0.010587851,0.28982303
-0.07285314,-0.041271478,-0.0022621201,-0.0114034,-0.053928416,-0.2248911
-0.18950659,-0.046247914,-0.1682425,0.006157204,0.025933348,0.14049006
0.11732682,0.26145884,0.06689271,-0.0029462148,0.118033886,-0.002539573
-0.00980159,-0.02569942,-0.03452524,0.19843587,-0.029802756,-0.10840206
0.08306815,-0.006194729,0.021958247,0.017216703,0.09910721,-0.005696081
0.2610665,0.28148696,0.24193409,-0.024854265,-0.06477635,-0.044274587
-0.3598758,-0.25743842,-0.34046993,-0.061481353,0.05965831,-0.28515905
-0.11366332,-0.21822451,-0.12018387,-0.058397505,0.04367126,0.20569278
-0.19757041,-0.14667581,-0.19028023,-0.08095974,0.13339102,-0.011416509
0.083784595,-0.026268596,-0.043954637,-0.18301961,-0.064946875,-0.35305372
0.016245656,-0.08684039,-0.042419296,-0.19271247,-0.1694591,0.026266262
0.014056448,-0.1388363,0.011577432,0.09985263,-0.08967366,0.020867467
0.054175466,0.0835795,0.08136268,0.13211222,0.13137354,0.0981556
0.35247502,0.3263401,0.38467976,0.047963858,-0.053564545,0.0061856103
-0.15023944,-0.19360559,-0.033546854,0.13084811,-0.0399206,0.10248097
-0.002390045,0.021164663,-0.009679695,-0.032189008,0.18532334,-0.015032481
0.077283934,0.081717335,0.1054587,-0.046217587,0.43946126,-0.19637369
0.066742145,0.06722337,0.12376472,-0.07305703,0.014055294,-0.06524748
0.034030538,0.031985603,0.03907107,-0.1826117,-0.20565414,0.16856498
0.11106611,0.08295467,0.14167388,-0.083541356,0.053671654,0.16076174
-0.40237972,-0.33911645,-0.34649065,-0.18264855,-0.07262015,-0.2549097
0.056757506,0.10455959,0.12650266,0.113161474,-0.16940416,-0.25849888
-0.05254088,-0.12982316,0.041676156,0.0017063987,-0.09092098,-0.024114953
0.014121287,0.023275765,-0.03876882,0.050578628,-0.018461002,-0.010282692
0.1356561,0.15576197,0.12044246,0.025113683,-0.073815264,-0.17512551
-0.30692282,-0.58116424,-0.22802542,-0.08190424,-0.074964106,0.07827608
-0.03472548,-0.02918737,-0.038158193,0.05554054,0.015148148,-0.08987288
0.09521645,0.087477654,0.10218807,-0.09695735,0.1730333,-0.30411527
-0.49236745,-0.44119346,-0.34769654,0.09131368,-0.10546377,-0.18915915
0.35742897,0.29751384,0.5043117,0.18424985,-0.06475162,0.22835703
-0.009993339,-0.010653959,-0.001224829,0.017879358,0.102908164,-0.19395207
0.09535985,0.10597032,0.08555654,0.15484479,-0.10612142,0.04124421
0.22160414,0.18872559,0.08366204,0.1764968,-0.066825785,0.2219117
-0.09321051,-0.16439264,-0.14481866,0.04476031,0.09643896,-0.12664895
0.045662783,0.07077643,0.050224897,0.013571871,-0.19324465,-0.36878198
0.120217085,0.10261642,0.026902322,0.07766419,-0.24591923,0.1815369
-0.299297,-0.24647069,-0.16499758,-0.06836771,-0.028721422,-0.26862416
-0.16353066,-0.08731453,-0.14108147,-0.064741366,0.06999982,-0.22162051
