Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
1.118567733458385,0.8167409,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.7514164491618291,0.8206578,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.6409966197601875,-0.59627366,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.1986498890714965,-1.440768,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
-1.7143858938090268,-1.9487104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.2271162799868059,0.38101366,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.0692470993029628,-0.51316595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8075003298832755,0.8356917,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
-0.13021641717163127,-0.17716724,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
-0.5437511274265903,-0.53342956,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.8745680128535891,0.78076106,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.958623356596776,-0.45541772,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.3974226807932362,-1.3574297,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.796779914240039,-0.3534152,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6647958115121179,0.6796067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.1564634055835814,-1.1872406,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5467553440765628,0.3208473,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.4297664561334159,-0.72017026,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0457488882706691,0.795533,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.8773740429968155,0.7742174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0618375945487089,-0.69194573,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.557694802800782,0.3058203,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
