Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
-1.6863255603186893,-1.4618535,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.4943540085604586,-1.0124812,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
-1.984711183065446,-1.9478642,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.5314271385806901,-1.8088114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.7727646734983724,-1.831671,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.3690568573690378,-1.1860211,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.844338520510869,-1.9173003,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
-1.923067031296261,-2.1291947,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.7429011830144823,-0.9734191,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.3572134819761072,-1.7639087,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.9698107237176558,-1.5891863,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-0.8808332774766683,-1.3509139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.805965338923684,-1.8101468,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.0445044105813774,-1.0558213,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.67158729482778,-1.4419621,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
-1.883326624211333,-1.8433534,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.4533097262424477,-1.2635674,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.4688174270886676,-1.8164451,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.673322891941272,-1.8417342,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.9810469693718143,0.7800051,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.4344560240010535,-1.944711,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.3190277799239412,-1.560784,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-1.586493725484364,-1.3702728,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.64077232856498,-1.8619522,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0.3415405451386105,-0.048199464,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-1.7518572733710716,-1.7992718,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
0.5555180837175008,0.46237114,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.294516081031503,-0.970201,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.6535197294445196,-1.1759644,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.8063492530736087,-1.7924765,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.9049472688026108,0.7993877,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.8776413699265765,-0.9236835,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
-1.3312044315910867,-1.6258378,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
-1.1511207877657377,-1.4194138,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.6208191376801375,-1.7871016,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.854016049632132,-1.9671246,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
-1.0495662641915615,-1.2535547,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
0.7230658820822814,0.7462201,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-0.6379230520648553,-0.14287172,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
-1.6504337528204724,-1.6117603,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6547439583863871,0.38579506,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4377941802052857,0.4444801,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
-1.4338665628796206,-1.4551129,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
-0.8602562152773103,-0.79456997,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
-1.946363871482208,-1.99408,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.508926530026684,0.5487576,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.5559401136823168,-1.7601305,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.6289982794707991,-1.4253653,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
-2.1683576228043253,-2.377091,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.885990767802844,-1.6220762,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
0.8429542258284519,0.75998676,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.586247868633021,-1.7955936,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.5637498712510618,0.6093425,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.99624229054598,-2.0506456,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.2471695836375796,-1.3729359,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.9267333458370888,-2.2801657,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8681443345936523,0.8847398,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.531813472331925,-2.0327091,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7478699570273983,0.6927372,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
-1.9302917704266416,-2.087429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.7021840685118597,-2.013866,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
-1.8246935895926841,-2.152358,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.8820918762338326,0.88672566,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.8794186459047316,0.89217895,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.1704566340081046,-1.3295519,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
