Y_true,Y_preed,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
5.0950778216,5.5535707,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8.18196489364,7.7061415,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
5.018446689009999,4.7682247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.17736325824,7.0328503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7.61649026229,7.352745,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7.4578532463,7.8418436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.77406897868,7.7893744,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5.598070520119999,5.285478,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
7.85517414709,7.6853075,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.31515214623,6.4406605,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7.8004352211300025,7.729463,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
3.6866382915699996,4.378478,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
7.970416299460001,7.733247,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
6.50374468258,6.189657,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7.78792947796,7.820595,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
7.859344843350001,7.866535,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3.10319297269,4.0896864,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4.399885235159999,5.0726404,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
7.7515315165,7.373041,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
4.1920564656699995,4.82954,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5.22161774084,4.9048777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
