Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
-1.7300040536158503,-1.879652,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.6671997211054793,-0.5919147,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
-0.6545228219970128,-0.97967774,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
-2.0585278844118853,-1.8410205,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1.3526728816357534,-1.1893587,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.3564790632868031,-1.5756968,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-0.15962756137251838,-0.032020673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0068716808839409,0.47629997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.695515415726364,0.6818568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
-1.5719529140220143,-1.5124788,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
-1.2880341542658689,-1.3228556,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
-0.3110700727629048,-0.37017202,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
-0.7252581146692979,-0.99593085,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-2.071350447635411,-2.084936,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.8928823109781933,0.9578092,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
-2.0151668827608176,-2.2055283,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
-0.9156373343050912,-0.035707094,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.4579402055223185,-1.8839843,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0485034550112708,1.0463215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5975083045099423,-1.5780249,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.1575497273987314,-1.4427643,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
-1.5561191335794056,-0.89345956,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.2750786625384296,-1.1990792,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.9414965695688596,-1.3083481,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-0.5781475457391412,-0.103058144,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.0362541840498771,-0.8264267,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.503700319563444,-0.59115297,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.6232939355910065,-0.6446075,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.4923532299068725,-1.1470239,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
-0.919806953830542,-1.0023123,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.7162951206505491,0.53056633,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.7328147634514731,0.8510315,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.8194332307967287,-1.9639975,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
-2.0710123473069606,-1.4018588,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.6679544455845392,-1.3663015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.4473900853906685,-0.40597805,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.3358826986887724,-1.1625316,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.6338275998109865,0.7962481,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
-1.4325726197593058,-1.4988953,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.1178001487678892,0.9377563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.3426452018515889,0.526924,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.518677881883941,-1.296992,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
-1.61776502881957,-1.6590563,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.90084562452514,-1.348577,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.9033410034438684,0.8400209,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.833091307978473,-1.6189994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.4303929949474947,-0.13321027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.7561038370027622,-1.9009802,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1.0639958032699892,0.8955725,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.3446298771817202,-1.4874787,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.5074038248529935,-1.2820396,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.3804303576314871,-1.3102481,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.6135913743136077,0.6281594,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.985140537233732,-2.0030875,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.9540739850165705,-1.6994479,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.933977021666184,-1.8627745,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.6528324137497854,-0.47074768,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.382470018134482,-1.4798585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.4626690207834248,-1.1077496,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.3388260898653075,-1.4126667,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.1021104259967631,0.89790803,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
0.8046322885041224,0.6741213,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.9921567809760028,-1.8604949,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.15307168388448092,0.6526276,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
0.4326772664090055,0.7623788,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.8739667896067158,-1.5436356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.6511072169265673,-1.0130804,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
-0.6644380897965187,-1.0118619,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.7073872052774044,-1.5355897,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.0587681344673676,-1.1627058,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.775708955072819,-1.6983895,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
-1.691338774519089,-1.5060172,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9655009008241999,0.94187474,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.9222539486782936,0.79930645,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
-1.7195586870679638,-1.6629108,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.07283539798463311,-0.035999388,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.1172232893893617,-1.5334766,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.8027014710164914,-1.1511421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.7650393303527343,0.9974925,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.7985353714517892,-1.1625695,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-1.2795871745058751,-0.5935857,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
-0.8740750935501809,-1.1747417,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9643082706543408,0.740218,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.8939274793357305,-0.548981,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6531979248344781,0.79881257,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
-1.6340808502095323,-1.627938,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
-1.8636238911122056,-1.5021702,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.5223840481238388,-0.8577368,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.5891736689667515,-1.1744925,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
-1.7945819385657633,-2.0963383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-0.9427262750638924,-0.8092535,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.12606076142336772,-0.13817643,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.4302972416664967,-1.4892595,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
