Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA,recon_acc
3.3259940168,2.968533,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,100
7.595058568410001,8.304989,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100
6.34910043686,5.2974954,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,101
3.9453045346499995,4.074038,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,100
8.59382958222,7.8106008,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,91
7.29962652026,7.0806313,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,98
3.60518358744,4.620846,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,100
4.3127978521599974,5.4765196,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100
3.9646180387900003,4.811805,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,97
7.68473527012,7.721553,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,100
7.08704171502,7.0851603,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,101
8.109286139710001,8.221264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,99
6.74518864415,6.585868,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,100
7.278661703330001,6.6131396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98
7.908194463380001,6.7073092,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,99
6.185588071290001,5.344347,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,97
8.25392760533,7.851246,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,98
8.273361861760002,7.682679,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100
8.241221566410001,7.6465907,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,100
8.42998202371,8.310705,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,99
8.4304066104,8.445662,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100
4.920269461269999,5.7510376,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,100
8.48261270107,8.188121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100
