Y_true,Y_pred,with_uAUG,recon_acc
-0.054706597550690746,0.6617006999999999,0.0,55
0.8300822492588837,0.8177839,1.0,47
1.3853516350266086,0.85133606,0.0,46
-1.2927405605345077,-1.5669948999999999,1.0,55
0.5493568789232625,0.5058056,0.0,50
0.4761304119878334,0.85682833,0.0,49
0.9039404471012384,0.73797286,0.0,49
0.6657217429304085,0.7759798000000001,0.0,47
-0.6586831972875754,-1.1990905,1.0,43
0.7519701715937092,0.79897714,0.0,47
0.7284470856225942,0.78141993,0.0,51
0.5443983524156255,0.73863494,0.0,47
-1.025536558549228,-1.5513151,1.0,49
0.8688704240254451,0.7053951999999999,0.0,47
-0.08743245012093323,0.1547643,1.0,46
0.7259521755236693,0.69958377,0.0,49
0.5143984853207767,0.812338,0.0,49
-1.4289529004031625,-1.089957,1.0,54
0.21908801862553048,0.3554006,0.0,48
0.4819807425864317,0.50044966,0.0,50
0.7584494228653631,0.6817639,0.0,47
-0.519474822596781,0.20385581,0.0,49
0.8325996924858118,0.7933278,0.0,50
-1.8104429893458929,-1.2990041,1.0,47
0.8808581278597619,0.82904136,1.0,51
1.04233519950307,0.7411318,0.0,46
0.6123915601747946,-0.29430145,1.0,44
0.8306251228380552,0.83975375,0.0,50
0.8479567869185075,0.629627,0.0,51
1.0149666576388432,0.81568205,0.0,42
-1.1357470062127235,-0.36725949999999996,1.0,45
-1.2309649344736568,-1.1644212999999999,1.0,47
1.2302493762023037,0.8732876,0.0,50
1.051100530305066,0.8804879999999999,0.0,46
-1.2842500615336678,-0.68451023,1.0,44
-2.0571557510944007,-1.6014743,1.0,55
0.8470538213743066,0.63177407,0.0,43
-0.10002476204746001,0.37320957,0.0,47
0.9442448582368728,0.8973553,0.0,48
0.7483052882793165,0.8011393,1.0,45
-1.854442069619324,-1.3629868,1.0,48
-0.2224956052266384,0.0005585551,1.0,44
0.2401471884139341,0.5397333000000001,1.0,46
0.9784200170376,0.84772784,0.0,50
-1.2956502211074123,-1.1833711,1.0,49
1.1355621567607002,0.5079646,0.0,42
-1.1274063195993302,-1.3102543,1.0,42
-2.0787127491468413,-1.6716547,1.0,51
-1.4425358459152855,-1.5369985000000002,1.0,46
0.4661796165964938,0.8695710999999999,1.0,48
0.007752284942155274,-0.6562366,1.0,48
-2.309051785812545,-1.6845708,1.0,47
-1.8802525344909693,-1.9097955000000002,1.0,50
0.4776735970056226,0.82192916,1.0,49
-1.32004495390895,-0.9751827,1.0,47
0.764281992856641,0.6793840999999999,0.0,44
0.4641393627764632,0.5823406,1.0,51
0.8431784927733412,0.7574183000000001,1.0,50
0.33907708068260484,0.65560937,0.0,44
1.0825869394463346,0.8664849,0.0,48
-0.13740224351458388,0.51793504,0.0,52
-0.10937630408553384,-0.7575194000000001,1.0,50
1.154329202577494,0.8044397,0.0,52
-0.5903837046754584,-0.61142844,1.0,50
1.065858008719634,0.8107529,0.0,48
0.7082601964253386,0.8133965,0.0,44
0.6693492864628706,0.5563691999999999,1.0,48
0.36835904900211,0.8572629999999999,0.0,48
-0.44801207545111055,0.26403886,1.0,51
-1.1802273549327442,-1.4007826,1.0,51
