Query_ID,q-value_ribo,q-value_yeast
SThuman_l3_f_134,0.44239700000000004,1.0
SThuman_l3_f_135,1.0,0.050432599999999994
SThuman_l3_f_136,0.041816900000000004,0.00028507099999999997
SThuman_l3_f_137,1.0,1.0
SThuman_l3_f_138,0.310315,0.0172297
SThuman_l3_f_139,1.0,0.0872571
SThuman_l3_f_140,1.0,1.0
SThuman_l3_f_141,0.519911,0.726847
SThuman_l3_f_142,1.0,0.201811
SThuman_l3_f_143,0.08970739999999999,0.0572558
SThuman_l3_f_144,1.0,0.145378
SThuman_l3_f_145,0.489511,0.194635
SThuman_l3_f_146,1.0,0.152101
SThuman_l3_f_147,0.00516811,0.0180753
SThuman_l3_f_148,0.12226400000000001,0.382853
SThuman_l3_f_149,1.0,1.0
SThuman_l3_f_150,0.20851,0.00901317
SThuman_l3_f_151,0.00300629,0.00947046
SThuman_l3_f_152,0.207775,1.0
SThuman_l3_f_153,1.0,1.0
SThuman_l3_f_154,0.308784,0.824609
SThuman_l3_f_155,0.553045,0.112283
SThuman_l3_f_156,1.0,0.000402466
SThuman_l3_f_157,0.346174,0.052931200000000005
SThuman_l3_f_158,0.7557560000000001,0.796966
SThuman_l3_f_159,0.00890739,0.026647700000000003
SThuman_l3_f_160,0.47358599999999995,1.0
SThuman_l3_f_161,0.056044000000000004,0.0142144
SThuman_l3_f_162,0.09803110000000001,0.105249
SThuman_l3_f_163,0.6027020000000001,1.0
SThuman_l3_f_164,0.117123,1.0
SThuman_l3_f_165,0.0219982,0.13109200000000001
SThuman_l3_f_166,0.00040409,0.17110799999999998
SThuman_l3_f_167,0.09118960000000001,0.580889
SThuman_l3_f_168,1.0,0.00127861
SThuman_l3_f_169,0.9096219999999999,0.53878
SThuman_l3_f_170,0.28191900000000003,0.0761783
SThuman_l3_f_171,0.529037,1.0
SThuman_l3_f_172,0.883217,1.0
SThuman_l3_f_173,1.0,0.0393462
SThuman_l3_f_174,0.363792,0.412077
SThuman_l3_f_175,0.457768,0.606891
SThuman_l3_f_176,0.0502098,0.232355
SThuman_l3_f_177,1.0,1.0
SThuman_l3_f_178,1.0,0.196981
SThuman_l3_f_179,0.781177,1.0
SThuman_l3_f_180,1.0,1.0
SThuman_l3_f_181,0.049284800000000004,0.055036800000000004
SThuman_l3_f_182,0.039619800000000004,1.0
SThuman_l3_f_183,0.186444,0.062025
SThuman_l3_f_184,0.577324,0.0574681
SThuman_l3_f_185,0.244831,0.031241900000000003
SThuman_l3_f_186,0.0682783,1.0
SThuman_l3_f_187,0.01884,0.00582901
SThuman_l3_f_188,0.120118,0.169388
SThuman_l3_f_189,1.0,0.0926294
SThuman_l3_f_190,0.213344,1.0
SThuman_l3_f_191,1.0,0.011609600000000001
SThuman_l3_f_192,0.295377,0.22432399999999997
SThuman_l3_f_193,0.612488,1.0
SThuman_l3_f_194,0.0474276,0.050445
SThuman_l3_f_195,0.520407,0.000453393
SThuman_l3_f_196,0.271156,0.06368430000000001
SThuman_l3_f_197,0.0217709,0.0454873
SThuman_l3_f_198,0.00421683,0.688198
SThuman_l3_f_199,0.49988299999999997,0.000236302
SThuman_l3_f_200,0.709869,1.0
SThuman_l3_f_201,1.0,0.0277275
SThuman_l3_f_202,0.163167,0.0438355
SThuman_l3_f_203,1.0,0.5555359999999999
SThuman_l3_f_204,0.13222,0.0972308
SThuman_l3_f_205,1.0,0.00407045
SThuman_l3_f_206,1.0,0.75065
SThuman_l3_f_207,0.009403100000000001,0.010224700000000001
SThuman_l3_f_208,0.694017,0.014353999999999999
SThuman_l3_f_209,0.03532709999999999,1.0
SThuman_l3_f_210,0.035686,1.0
SThuman_l3_f_211,1.0,0.000278806
SThuman_l3_f_212,1.0,0.885043
SThuman_l3_f_213,0.5940979999999999,0.136625
SThuman_l3_f_214,0.245827,0.12783599999999998
SThuman_l3_f_215,0.215712,0.491546
SThuman_l3_f_216,0.540331,0.128727
SThuman_l3_f_217,1.0,0.9132629999999999
SThuman_l3_f_218,0.38818800000000003,0.24074600000000002
SThuman_l3_f_219,1.0,1.0
SThuman_l3_f_220,0.538932,1.0
SThuman_l3_f_221,1.0,1.0
SThuman_l3_f_222,0.12712,0.302325
SThuman_l3_f_223,0.5957399999999999,0.0871077
SThuman_l3_f_224,0.661547,0.0823919
SThuman_l3_f_225,1.0,0.031522900000000006
SThuman_l3_f_226,1.0,0.516098
SThuman_l3_f_227,0.22399899999999998,0.11914100000000001
SThuman_l3_f_228,0.0979424,0.5424399999999999
SThuman_l3_f_229,0.575271,0.010860999999999999
SThuman_l3_f_230,0.5948859999999999,0.5669649999999999
SThuman_l3_f_231,1.0,0.05310549999999999
SThuman_l3_f_232,0.00838168,0.0023197
SThuman_l3_f_233,1.0,0.163069
SThuman_l3_f_234,0.0224998,1.0
SThuman_l3_f_235,1.0,0.00272067
SThuman_l3_f_236,1.0,1.0
SThuman_l3_f_237,0.690077,0.08143869999999999
SThuman_l3_f_238,0.169811,0.8887280000000001
SThuman_l3_f_239,1.0,0.165222
SThuman_l3_f_240,0.530516,0.024345
SThuman_l3_f_241,0.0216533,0.0224144
SThuman_l3_f_242,1.0,0.11031500000000001
SThuman_l3_f_243,0.234195,0.133697
SThuman_l3_f_244,0.047514999999999995,0.0389155
SThuman_l3_f_245,0.943101,0.155618
SThuman_l3_f_246,1.0,1.0
SThuman_l3_f_247,0.45036800000000005,0.581684
SThuman_l3_f_248,1.0,1.0
SThuman_l3_f_249,1.0,0.0207028
SThuman_l3_f_250,0.9031899999999999,0.43313199999999996
SThuman_l3_f_251,1.0,1.0
SThuman_l3_f_252,0.454708,1.0
SThuman_l3_f_253,1.0,0.91804
SThuman_l3_f_254,0.973145,0.214961
SThuman_l3_f_255,1.0,0.60842
