Query_ID,q-value_ribo,q-value_yeast
STunmod1_l3_f_140,0.74878,0.00110612
STunmod1_l3_f_141,0.506748,0.481222
STunmod1_l3_f_142,0.844035,0.193429
STunmod1_l3_f_143,0.99998,1.0
STunmod1_l3_f_144,0.542845,0.999999
STunmod1_l3_f_145,0.99996,0.458073
STunmod1_l3_f_146,1.0,0.0866032
STunmod1_l3_f_147,0.120348,1.0
STunmod1_l3_f_148,1.0,1.0
STunmod1_l3_f_149,0.343641,0.0366242
STunmod1_l3_f_150,1.0,0.238261
STunmod1_l3_f_151,0.483368,1.0
STunmod1_l3_f_152,0.408124,0.512433
STunmod1_l3_f_153,1.0,1.0
STunmod1_l3_f_154,1.0,0.052997
STunmod1_l3_f_155,1.0,0.0165488
STunmod1_l3_f_156,1.0,1.0
STunmod1_l3_f_157,0.970693,0.0169631
STunmod1_l3_f_158,1.0,1.0
STunmod1_l3_f_159,0.390392,0.0134746
STunmod1_l3_f_161,0.73036,0.00200422
STunmod1_l3_f_162,0.736143,0.294906
STunmod1_l3_f_163,0.176141,1.0
STunmod1_l3_f_164,0.153806,0.0315601
STunmod1_l3_f_165,0.303111,0.787584
STunmod1_l3_f_166,0.347765,0.0826419
STunmod1_l3_f_167,0.999967,0.999998
STunmod1_l3_f_168,0.295169,0.00648931
STunmod1_l3_f_169,1.0,1.0
STunmod1_l3_f_170,1.0,0.124204
STunmod1_l3_f_171,1.0,0.600526
STunmod1_l3_f_172,0.460488,1.0
STunmod1_l3_f_173,1.0,0.0835737
STunmod1_l3_f_174,1.0,0.0747888
STunmod1_l3_f_175,0.0340691,1.0
STunmod1_l3_f_176,1.0,1.0
STunmod1_l3_f_177,1.0,0.000672517
STunmod1_l3_f_178,1.0,0.0031368
STunmod1_l3_f_179,1.0,0.287594
STunmod1_l3_f_180,0.745831,0.395486
STunmod1_l3_f_181,0.145188,1.0
STunmod1_l3_f_182,1.0,0.77912
STunmod1_l3_f_183,1.0,1.0
STunmod1_l3_f_184,0.540216,0.202099
STunmod1_l3_f_185,1.0,0.6378
STunmod1_l3_f_186,1.0,0.0333338
STunmod1_l3_f_187,1.0,0.295099
STunmod1_l3_f_188,0.503757,0.0110269
STunmod1_l3_f_189,1.0,0.00102727
STunmod1_l3_f_190,0.788422,0.0136554
STunmod1_l3_f_191,1.0,0.282628
STunmod1_l3_f_192,0.442383,0.342907
STunmod1_l3_f_193,0.536866,1.0
STunmod1_l3_f_195,0.399839,0.0643255
STunmod1_l3_f_196,0.00964558,0.0318386
STunmod1_l3_f_197,0.999045,0.0032676
STunmod1_l3_f_198,0.319969,0.00836808
STunmod1_l3_f_199,1.0,1.0
STunmod1_l3_f_200,0.463324,0.673362
STunmod1_l3_f_201,0.41195,1.51482e-05
STunmod1_l3_f_202,0.196841,0.148467
STunmod1_l3_f_204,0.045357,0.0149211
STunmod1_l3_f_205,0.267415,0.79958
STunmod1_l3_f_206,0.385801,0.0524279
STunmod1_l3_f_207,0.253427,0.463584
STunmod1_l3_f_208,1.0,0.200247
STunmod1_l3_f_209,0.915705,0.646125
STunmod1_l3_f_210,0.507304,1.0
STunmod1_l3_f_211,1.0,0.0201319
STunmod1_l3_f_212,1.0,0.0315965
STunmod1_l3_f_213,0.427469,0.255663
STunmod1_l3_f_214,0.197439,0.00477566
STunmod1_l3_f_215,0.643654,0.00578026
STunmod1_l3_f_216,0.141581,0.223821
STunmod1_l3_f_217,0.0729089,1.0
STunmod1_l3_f_218,1.0,0.07297
STunmod1_l3_f_219,0.0237198,0.195296
STunmod1_l3_f_220,1.0,0.49085
STunmod1_l3_f_221,0.838356,0.000939414
STunmod1_l3_f_222,0.402752,0.0383497
STunmod1_l3_f_223,0.534807,0.728522
STunmod1_l3_f_224,0.192135,0.560585
STunmod1_l3_f_226,0.245601,7.58712e-05
STunmod1_l3_f_227,0.198788,0.035955
STunmod1_l3_f_228,0.918579,1.0
STunmod1_l3_f_229,0.65285,0.1454
STunmod1_l3_f_230,1.0,1.0
STunmod1_l3_f_231,0.999999,0.358246
STunmod1_l3_f_232,1.0,0.0959783
STunmod1_l3_f_233,0.368244,0.0846451
STunmod1_l3_f_235,0.568775,0.0104044
STunmod1_l3_f_236,1.0,1.0
STunmod1_l3_f_237,0.0326894,0.273558
STunmod1_l3_f_238,0.1498,0.0274971
STunmod1_l3_f_239,1.0,0.591928
STunmod1_l3_f_240,0.000226905,0.211027
STunmod1_l3_f_241,0.307866,0.0062679
